series,win_idx,point_start_idx,point_end_idx,start_time,end_time,score,threshold
A-9,3126,3126,3185,2020-01-01 00:52:06,2020-01-01 00:53:05,0.35667593990053437,0.35909746374402723
A-9,3127,3127,3186,2020-01-01 00:52:07,2020-01-01 00:53:06,0.35909746374402723,0.35909746374402723
A-9,3128,3128,3187,2020-01-01 00:52:08,2020-01-01 00:53:07,0.36087550861494877,0.35909746374402723
A-9,3129,3129,3188,2020-01-01 00:52:09,2020-01-01 00:53:08,0.36307351929800846,0.35909746374402723
A-9,3130,3130,3189,2020-01-01 00:52:10,2020-01-01 00:53:09,0.36385746087346754,0.35909746374402723
A-9,3131,3131,3190,2020-01-01 00:52:11,2020-01-01 00:53:10,0.3645951109273093,0.35909746374402723
A-9,3132,3132,3191,2020-01-01 00:52:12,2020-01-01 00:53:11,0.36506144489560804,0.35909746374402723
A-9,3133,3133,3192,2020-01-01 00:52:13,2020-01-01 00:53:12,0.3650591884340559,0.35909746374402723
A-9,3134,3134,3193,2020-01-01 00:52:14,2020-01-01 00:53:13,0.3647152611187526,0.35909746374402723
A-9,3135,3135,3194,2020-01-01 00:52:15,2020-01-01 00:53:14,0.36416940178189955,0.35909746374402723
A-9,3136,3136,3195,2020-01-01 00:52:16,2020-01-01 00:53:15,0.36304443223135807,0.35909746374402723
A-9,3137,3137,3196,2020-01-01 00:52:17,2020-01-01 00:53:16,0.3614424850259508,0.35909746374402723
A-9,3138,3138,3197,2020-01-01 00:52:18,2020-01-01 00:53:17,0.36013228552682053,0.35909746374402723
A-9,3139,3139,3198,2020-01-01 00:52:19,2020-01-01 00:53:18,0.3589174492018563,0.35909746374402723
A-9,3190,3190,3249,2020-01-01 00:53:10,2020-01-01 00:54:09,0.3575132489204407,0.35909746374402723
A-9,3191,3191,3250,2020-01-01 00:53:11,2020-01-01 00:54:10,0.36148808257920406,0.35909746374402723
A-9,3192,3192,3251,2020-01-01 00:53:12,2020-01-01 00:54:11,0.3650391144411904,0.35909746374402723
A-9,3193,3193,3252,2020-01-01 00:53:13,2020-01-01 00:54:12,0.36818891763687134,0.35909746374402723
A-9,3194,3194,3253,2020-01-01 00:53:14,2020-01-01 00:54:13,0.3698591547352927,0.35909746374402723
A-9,3195,3195,3254,2020-01-01 00:53:15,2020-01-01 00:54:14,0.37183532970292227,0.35909746374402723
A-9,3196,3196,3255,2020-01-01 00:53:16,2020-01-01 00:54:15,0.3731938898563385,0.35909746374402723
A-9,3197,3197,3256,2020-01-01 00:53:17,2020-01-01 00:54:16,0.3731554065431867,0.35909746374402723
A-9,3198,3198,3257,2020-01-01 00:53:18,2020-01-01 00:54:17,0.37321702497346054,0.35909746374402723
A-9,3199,3199,3258,2020-01-01 00:53:19,2020-01-01 00:54:18,0.37232529691287447,0.35909746374402723
A-9,3200,3200,3259,2020-01-01 00:53:20,2020-01-01 00:54:19,0.3714453961168016,0.35909746374402723
A-9,3201,3201,3260,2020-01-01 00:53:21,2020-01-01 00:54:20,0.37064951658248896,0.35909746374402723
A-9,3202,3202,3261,2020-01-01 00:53:22,2020-01-01 00:54:21,0.36916321941784447,0.35909746374402723
A-9,3203,3203,3262,2020-01-01 00:53:23,2020-01-01 00:54:22,0.36797519666807993,0.35909746374402723
A-9,3204,3204,3263,2020-01-01 00:53:24,2020-01-01 00:54:23,0.3667795487812587,0.35909746374402723
A-9,3205,3205,3264,2020-01-01 00:53:25,2020-01-01 00:54:24,0.36583463209015976,0.35909746374402723
A-9,3206,3206,3265,2020-01-01 00:53:26,2020-01-01 00:54:25,0.36402130552700585,0.35909746374402723
A-9,3207,3207,3266,2020-01-01 00:53:27,2020-01-01 00:54:26,0.3632895903927939,0.35909746374402723
A-9,3208,3208,3267,2020-01-01 00:53:28,2020-01-01 00:54:27,0.36181230630193434,0.35909746374402723
A-9,3209,3209,3268,2020-01-01 00:53:29,2020-01-01 00:54:28,0.36058784382683884,0.35909746374402723
A-9,3210,3210,3269,2020-01-01 00:53:30,2020-01-01 00:54:29,0.35929127676146366,0.35909746374402723
A-9,3211,3211,3270,2020-01-01 00:53:31,2020-01-01 00:54:30,0.35836652347019743,0.35909746374402723
A-9,3321,3321,3380,2020-01-01 00:55:21,2020-01-01 00:56:20,0.3572104147502354,0.35909746374402723
