series,start_idx,end_idx,start_time,end_time,win_start,win_end,score_max,score_mean,threshold
A-1,3,8632,2020-01-01 00:00:03,2020-01-01 02:23:52,3,8573,0.9280899252210345,0.006649745934418193,2.4430357793140237e-05
A-2,194,292,2020-01-01 00:03:14,2020-01-01 00:04:52,194,233,0.5151124170848301,0.48765040295464657,0.4512310751846858
A-2,284,398,2020-01-01 00:04:44,2020-01-01 00:06:38,284,339,0.6040724515914917,0.5463050900369274,0.4512310751846858
A-2,1368,1442,2020-01-01 00:22:48,2020-01-01 00:24:02,1368,1383,0.5245911478996277,0.4936973282269069,0.4512310751846858
A-2,1387,1473,2020-01-01 00:23:07,2020-01-01 00:24:33,1387,1414,0.5090866216591426,0.48443397058516124,0.4512310751846858
A-2,1551,1624,2020-01-01 00:25:51,2020-01-01 00:27:04,1551,1565,0.5640089597020831,0.5273890231336866,0.4512310751846858
A-2,1816,1925,2020-01-01 00:30:16,2020-01-01 00:32:05,1816,1866,0.5221561704363142,0.4908561687342593,0.4512310751846858
A-2,1909,1975,2020-01-01 00:31:49,2020-01-01 00:32:55,1909,1916,0.4777128483567919,0.4676165288048131,0.4512310751846858
A-2,1935,1998,2020-01-01 00:32:15,2020-01-01 00:33:18,1935,1939,0.45844777567046024,0.45603002565247663,0.4512310751846858
A-2,2082,2194,2020-01-01 00:34:42,2020-01-01 00:36:34,2082,2135,0.6028337734086172,0.5609129448101002,0.4512310751846858
A-2,2363,2470,2020-01-01 00:39:23,2020-01-01 00:41:10,2363,2411,0.6458792516163417,0.5954925145943033,0.4512310751846858
A-2,2452,2561,2020-01-01 00:40:52,2020-01-01 00:42:41,2452,2502,0.5906988978385924,0.551278184608919,0.4512310751846858
A-2,2711,2824,2020-01-01 00:45:11,2020-01-01 00:47:04,2711,2765,0.6341942548751831,0.5877147234105444,0.4512310751846858
A-2,3632,3713,2020-01-01 01:00:32,2020-01-01 01:01:53,3632,3654,0.49784598605973385,0.47637076703658016,0.4512310751846858
A-2,3725,3794,2020-01-01 01:02:05,2020-01-01 01:03:14,3725,3735,0.4733767424310957,0.46396579099940016,0.4512310751846858
A-2,4070,4135,2020-01-01 01:07:50,2020-01-01 01:08:55,4070,4076,0.4770226350852422,0.46684700007341345,0.4512310751846858
A-2,4088,4172,2020-01-01 01:08:08,2020-01-01 01:09:32,4088,4113,0.49744669454438345,0.4792257799552036,0.4512310751846858
A-2,4437,4501,2020-01-01 01:13:57,2020-01-01 01:15:01,4437,4442,0.47363375340189257,0.4652627018235979,0.4512310751846858
A-2,4472,4536,2020-01-01 01:14:32,2020-01-01 01:15:36,4472,4477,0.4750753002507345,0.46638236159370056,0.4512310751846858
A-2,4515,4606,2020-01-01 01:15:15,2020-01-01 01:16:46,4515,4547,0.6600701894078936,0.5854994563055245,0.4512310751846858
A-2,4829,4893,2020-01-01 01:20:29,2020-01-01 01:21:33,4829,4834,0.4779244789055415,0.46968343002455565,0.4512310751846858
A-3,1,70,2020-01-01 00:00:01,2020-01-01 00:01:10,1,11,0.12158542552164622,0.10191748958903474,0.07408644365412846
A-3,25,218,2020-01-01 00:00:25,2020-01-01 00:03:38,25,159,0.14687293342181612,0.10147609194277454,0.07408644365412846
A-3,186,252,2020-01-01 00:03:06,2020-01-01 00:04:12,186,193,0.08174438135964529,0.0783999701961875,0.07408644365412846
A-3,198,313,2020-01-01 00:03:18,2020-01-01 00:05:13,198,254,0.11364561106477464,0.09216609520646264,0.07408644365412846
A-3,261,343,2020-01-01 00:04:21,2020-01-01 00:05:43,261,284,0.0943891555070877,0.08288542660219328,0.07408644365412846
A-3,336,404,2020-01-01 00:05:36,2020-01-01 00:06:44,336,345,0.07697616943291255,0.07621722519397736,0.07408644365412846
A-3,365,504,2020-01-01 00:06:05,2020-01-01 00:08:24,365,445,0.0987130371587617,0.08893314680672616,0.07408644365412846
A-3,501,758,2020-01-01 00:08:21,2020-01-01 00:12:38,501,699,0.14089812338352203,0.10915468636116617,0.07408644365412846
A-3,704,768,2020-01-01 00:11:44,2020-01-01 00:12:48,704,709,0.07871503702231815,0.0771455420624642,0.07408644365412846
A-3,721,808,2020-01-01 00:12:01,2020-01-01 00:13:28,721,749,0.0867193021944591,0.08076242394194816,0.07408644365412846
A-3,776,838,2020-01-01 00:12:56,2020-01-01 00:13:58,776,779,0.07556614599057605,0.07509754278830119,0.07408644365412846
A-3,796,870,2020-01-01 00:13:16,2020-01-01 00:14:30,796,811,0.08023250954491752,0.07738181775701898,0.07408644365412846
A-3,861,970,2020-01-01 00:14:21,2020-01-01 00:16:10,861,911,0.10507134348154068,0.09339230472133273,0.07408644365412846
A-3,918,990,2020-01-01 00:15:18,2020-01-01 00:16:30,918,931,0.08161735534667967,0.07898899380649839,0.07408644365412846
A-3,941,1003,2020-01-01 00:15:41,2020-01-01 00:16:43,941,944,0.07534267327615192,0.07490255896534238,0.07408644365412846
A-3,984,1194,2020-01-01 00:16:24,2020-01-01 00:19:54,984,1135,0.1335371753999165,0.10042266136987651,0.07408644365412846
A-3,1163,1434,2020-01-01 00:19:23,2020-01-01 00:23:54,1163,1375,0.16041823157242366,0.11366192327398807,0.07408644365412846
A-3,1382,1446,2020-01-01 00:23:02,2020-01-01 00:24:06,1382,1387,0.07614245585032872,0.07548707475264867,0.07408644365412846
A-3,1411,1480,2020-01-01 00:23:31,2020-01-01 00:24:40,1411,1421,0.09889566153287888,0.0893989641267758,0.07408644365412846
A-3,1427,1570,2020-01-01 00:23:47,2020-01-01 00:26:10,1427,1511,0.17751899361610413,0.1360172824574118,0.07408644365412846
A-3,1529,1597,2020-01-01 00:25:29,2020-01-01 00:26:37,1529,1538,0.08790925251586097,0.0826331758073398,0.07408644365412846
A-3,1545,1674,2020-01-01 00:25:45,2020-01-01 00:27:54,1545,1615,0.10972777754068375,0.09483185082943862,0.07408644365412846
A-3,1622,1694,2020-01-01 00:27:02,2020-01-01 00:28:14,1622,1635,0.10164732166699,0.09101890293615203,0.07408644365412846
A-3,1696,1794,2020-01-01 00:28:16,2020-01-01 00:29:54,1696,1735,0.11849812950406756,0.09500223967645849,0.07408644365412846
A-3,1744,1810,2020-01-01 00:29:04,2020-01-01 00:30:10,1744,1751,0.08202889348779405,0.07893108323748621,0.07408644365412846
A-3,1794,1855,2020-01-01 00:29:54,2020-01-01 00:30:55,1794,1796,0.07419884098427634,0.07415289147978736,0.07408644365412846
A-3,1816,1916,2020-01-01 00:30:16,2020-01-01 00:31:56,1816,1857,0.09268479581390109,0.08433964166815588,0.07408644365412846
A-3,1883,1946,2020-01-01 00:31:23,2020-01-01 00:32:26,1883,1887,0.07688460711921964,0.07582475574953215,0.07408644365412846
A-3,1902,1970,2020-01-01 00:31:42,2020-01-01 00:32:50,1902,1911,0.08459120988845825,0.08035349287092686,0.07408644365412846
A-3,1923,2099,2020-01-01 00:32:03,2020-01-01 00:34:59,1923,2040,0.11655791955334797,0.09452084275120393,0.07408644365412846
A-3,2064,2132,2020-01-01 00:34:24,2020-01-01 00:35:32,2064,2073,0.0884437124644007,0.08229320858206066,0.07408644365412846
A-3,2090,2160,2020-01-01 00:34:50,2020-01-01 00:36:00,2090,2101,0.08593660167285373,0.08118928942297186,0.07408644365412846
A-3,2113,2177,2020-01-01 00:35:13,2020-01-01 00:36:17,2113,2118,0.07689635029860904,0.07583961227820034,0.07408644365412846
A-3,2184,2247,2020-01-01 00:36:24,2020-01-01 00:37:27,2184,2188,0.07726163523537771,0.07577357100588936,0.07408644365412846
A-3,2232,2417,2020-01-01 00:37:12,2020-01-01 00:40:17,2232,2358,0.13199178661618916,0.10367936462465638,0.07408644365412846
A-3,2376,2496,2020-01-01 00:39:36,2020-01-01 00:41:36,2376,2437,0.10933345130511692,0.0985535652921771,0.07408644365412846
A-3,2494,2566,2020-01-01 00:41:34,2020-01-01 00:42:46,2494,2507,0.08532113156148365,0.08128076951418603,0.07408644365412846
A-3,2537,2606,2020-01-01 00:42:17,2020-01-01 00:43:26,2537,2547,0.09260497880833489,0.08475465956446411,0.07408644365412846
