series,precision,recall,f1,roc_auc,auprc
G-2,0.013700506918755994,1.0,0.027030679821597514,0.4934046098306026,0.013706140350877192
G-3,0.01401630988786952,1.0,0.02764513696908771,0.4877229258206255,0.01401630988786952
D-8,0.01407909893766799,1.0,0.02776725987630948,0.49422452952628165,0.014086310667178897
A-1,0.016796920564563163,1.0,0.033038889526213144,0.495021927225317,0.01680280046674446
T-3,0.018803619696791632,1.0,0.03691313877033107,0.38551584928229665,0.013859022794689963
M-2,0.019413092550790066,1.0,0.03808680248007086,0.03226944667201283,0.010206164237867932
R-1,0.019485038274182326,1.0,0.03822525597269624,0.49325762952448543,0.019485038274182326
F-1,0.0210589651022864,0.4375,0.040183696900114814,0.4017065152420801,0.014784033994995196
F-3,0.02103049421661409,1.0,0.0411946446961895,0.44885359620299375,0.010895211055809432
D-6,0.024545900834560628,0.35714285714285715,0.045934772622875514,0.4347755367599219,0.01611704931874667
