series,precision,recall,f1,roc_auc,auprc
A-9,0.8125151002657647,0.8570336391437309,0.8341808259952871,0.914624438128073,0.8955255811362735
D-7,0.5386126940459816,0.9927562477363274,0.698343949044586,0.7550990562841955,0.5487387176468005
D-2,0.5010543580131209,1.0,0.6676032154842738,0.7114687553507975,0.6453795863528075
D-3,0.49451038575667655,0.999400299850075,0.6616377171215881,0.4071896000150897,0.3158924581151319
D-4,0.4937294714840251,1.0,0.6610694652673663,0.41326273921923273,0.33844964130727956
A-8,0.4907148308318494,0.9981888745148771,0.6579687899718598,0.44787417860079404,0.4241535089634981
A-7,0.4095460614152203,0.9975609756097561,0.5806909607193563,0.6111866433618525,0.3066622064289286
F-2,0.4006908462867012,1.0,0.5721331689272503,0.5850398785890372,0.3704647758238778
E-3,0.39670223084384093,1.0,0.5680555555555555,0.35663593562056306,0.30418462294476867
D-1,0.3926627218934911,1.0,0.5639021074099252,0.16480355621830803,0.27492293752725805
