series,start_idx,end_idx,start_time,end_time,win_start,win_end,score_max,score_mean,threshold
A-4,4501,4641,2020-01-01 01:15:01,2020-01-01 01:17:21,4501,4582,0.9305547646113804,0.7325175944261435,0.22286144111837658
A-4,4594,4711,2020-01-01 01:16:34,2020-01-01 01:18:31,4594,4652,0.49245350275720867,0.4321998834573904,0.22286144111837658
A-4,4393,4546,2020-01-01 01:13:13,2020-01-01 01:15:46,4393,4487,0.41906087739127024,0.31885639480630257,0.22286144111837658
A-4,2853,2973,2020-01-01 00:47:33,2020-01-01 00:49:33,2853,2914,0.3650192405496324,0.3163018251001011,0.22286144111837658
A-4,6877,7006,2020-01-01 01:54:37,2020-01-01 01:56:46,6877,6947,0.3468010255268641,0.2817284067571762,0.22286144111837658
A-4,2937,3066,2020-01-01 00:48:57,2020-01-01 00:51:06,2937,3007,0.3402122088841029,0.27560144123177177,0.22286144111837658
A-4,7441,7558,2020-01-01 02:04:01,2020-01-01 02:05:58,7441,7499,0.33573767542839045,0.28711044781144535,0.22286144111837658
A-4,1565,1689,2020-01-01 00:26:05,2020-01-01 00:28:09,1565,1630,0.3300107291766575,0.2949976036365414,0.22286144111837658
A-4,4845,4963,2020-01-01 01:20:45,2020-01-01 01:22:43,4845,4904,0.3213845746857779,0.26030016484714685,0.22286144111837658
A-4,6166,6287,2020-01-01 01:42:46,2020-01-01 01:44:47,6166,6228,0.3188275524548121,0.2690237430758487,0.22286144111837658
A-4,6631,6749,2020-01-01 01:50:31,2020-01-01 01:52:29,6631,6690,0.2988919530596052,0.26363057380630855,0.22286144111837658
A-4,2204,2302,2020-01-01 00:36:44,2020-01-01 00:38:22,2204,2243,0.2937772742339543,0.26327414464737686,0.22286144111837658
A-4,1391,1506,2020-01-01 00:23:11,2020-01-01 00:25:06,1391,1447,0.29303225449153353,0.27328693384962865,0.22286144111837658
A-4,454,553,2020-01-01 00:07:34,2020-01-01 00:09:13,454,494,0.28642745954649784,0.25920832359624657,0.22286144111837658
A-4,6433,6523,2020-01-01 01:47:13,2020-01-01 01:48:43,6433,6464,0.28504200492586407,0.2594309067353606,0.22286144111837658
A-4,40,113,2020-01-01 00:00:40,2020-01-01 00:01:53,40,54,0.27977714794022696,0.2514924040862492,0.22286144111837658
