series,win_idx,point_start_idx,point_end_idx,start_time,end_time,score,threshold
A-7,4,4,63,2020-01-01 00:00:04,2020-01-01 00:01:03,0.4690920412540435,0.469166385275977
A-7,5,5,64,2020-01-01 00:00:05,2020-01-01 00:01:04,0.4763323068618774,0.469166385275977
A-7,6,6,65,2020-01-01 00:00:06,2020-01-01 00:01:05,0.4818727203777858,0.469166385275977
A-7,7,7,66,2020-01-01 00:00:07,2020-01-01 00:01:06,0.48164645263126915,0.469166385275977
A-7,8,8,67,2020-01-01 00:00:08,2020-01-01 00:01:07,0.47897371649742126,0.469166385275977
A-7,9,9,68,2020-01-01 00:00:09,2020-01-01 00:01:08,0.4710821594510759,0.469166385275977
A-7,10,10,69,2020-01-01 00:00:10,2020-01-01 00:01:09,0.46185168623924255,0.469166385275977
A-7,34,34,93,2020-01-01 00:00:34,2020-01-01 00:01:33,0.4647129390920911,0.469166385275977
A-7,35,35,94,2020-01-01 00:00:35,2020-01-01 00:01:34,0.4782071071011679,0.469166385275977
A-7,36,36,95,2020-01-01 00:00:36,2020-01-01 00:01:35,0.49068215489387507,0.469166385275977
A-7,37,37,96,2020-01-01 00:00:37,2020-01-01 00:01:36,0.5027927713734763,0.469166385275977
A-7,38,38,97,2020-01-01 00:00:38,2020-01-01 00:01:37,0.5070600807666779,0.469166385275977
A-7,39,39,98,2020-01-01 00:00:39,2020-01-01 00:01:38,0.509513395173209,0.469166385275977
A-7,40,40,99,2020-01-01 00:00:40,2020-01-01 00:01:39,0.5110914877482823,0.469166385275977
A-7,41,41,100,2020-01-01 00:00:41,2020-01-01 00:01:40,0.5115022829600743,0.469166385275977
A-7,42,42,101,2020-01-01 00:00:42,2020-01-01 00:01:41,0.5101414663451058,0.469166385275977
A-7,43,43,102,2020-01-01 00:00:43,2020-01-01 00:01:42,0.5088986924716404,0.469166385275977
A-7,44,44,103,2020-01-01 00:00:44,2020-01-01 00:01:43,0.5004215155329023,0.469166385275977
A-7,45,45,104,2020-01-01 00:00:45,2020-01-01 00:01:44,0.4909508185727256,0.469166385275977
A-7,46,46,105,2020-01-01 00:00:46,2020-01-01 00:01:45,0.48141099299703327,0.469166385275977
A-7,47,47,106,2020-01-01 00:00:47,2020-01-01 00:01:46,0.47223275474139625,0.469166385275977
A-7,48,48,107,2020-01-01 00:00:48,2020-01-01 00:01:47,0.47259468265942167,0.469166385275977
A-7,49,49,108,2020-01-01 00:00:49,2020-01-01 00:01:48,0.47568510685648235,0.469166385275977
