win_index,start_idx,end_idx,timestamp_start,timestamp_end,recon_mse,score,y_pred,threshold
0,0,59,2020-01-01 00:00:00,2020-01-01 00:00:59,0.0002996269322466105,0.008281369294439043,1,0.0003754141694766336
1,1,60,2020-01-01 00:00:01,2020-01-01 00:01:00,0.0002996269322466105,0.010351711618048804,1,0.0003754141694766336
2,2,61,2020-01-01 00:00:02,2020-01-01 00:01:01,0.0002996269322466105,0.012422053941658566,1,0.0003754141694766336
3,3,62,2020-01-01 00:00:03,2020-01-01 00:01:02,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
4,4,63,2020-01-01 00:00:04,2020-01-01 00:01:03,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
5,5,64,2020-01-01 00:00:05,2020-01-01 00:01:04,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
6,6,65,2020-01-01 00:00:06,2020-01-01 00:01:05,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
7,7,66,2020-01-01 00:00:07,2020-01-01 00:01:06,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
8,8,67,2020-01-01 00:00:08,2020-01-01 00:01:07,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
9,9,68,2020-01-01 00:00:09,2020-01-01 00:01:08,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
10,10,69,2020-01-01 00:00:10,2020-01-01 00:01:09,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
11,11,70,2020-01-01 00:00:11,2020-01-01 00:01:10,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
12,12,71,2020-01-01 00:00:12,2020-01-01 00:01:11,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
13,13,72,2020-01-01 00:00:13,2020-01-01 00:01:12,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
14,14,73,2020-01-01 00:00:14,2020-01-01 00:01:13,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
15,15,74,2020-01-01 00:00:15,2020-01-01 00:01:14,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
16,16,75,2020-01-01 00:00:16,2020-01-01 00:01:15,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
17,17,76,2020-01-01 00:00:17,2020-01-01 00:01:16,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
18,18,77,2020-01-01 00:00:18,2020-01-01 00:01:17,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
19,19,78,2020-01-01 00:00:19,2020-01-01 00:01:18,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
20,20,79,2020-01-01 00:00:20,2020-01-01 00:01:19,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
21,21,80,2020-01-01 00:00:21,2020-01-01 00:01:20,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
22,22,81,2020-01-01 00:00:22,2020-01-01 00:01:21,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
23,23,82,2020-01-01 00:00:23,2020-01-01 00:01:22,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
24,24,83,2020-01-01 00:00:24,2020-01-01 00:01:23,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
25,25,84,2020-01-01 00:00:25,2020-01-01 00:01:24,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
26,26,85,2020-01-01 00:00:26,2020-01-01 00:01:25,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
27,27,86,2020-01-01 00:00:27,2020-01-01 00:01:26,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
28,28,87,2020-01-01 00:00:28,2020-01-01 00:01:27,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
29,29,88,2020-01-01 00:00:29,2020-01-01 00:01:28,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
30,30,89,2020-01-01 00:00:30,2020-01-01 00:01:29,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
31,31,90,2020-01-01 00:00:31,2020-01-01 00:01:30,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
32,32,91,2020-01-01 00:00:32,2020-01-01 00:01:31,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
33,33,92,2020-01-01 00:00:33,2020-01-01 00:01:32,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
34,34,93,2020-01-01 00:00:34,2020-01-01 00:01:33,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
35,35,94,2020-01-01 00:00:35,2020-01-01 00:01:34,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
36,36,95,2020-01-01 00:00:36,2020-01-01 00:01:35,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
37,37,96,2020-01-01 00:00:37,2020-01-01 00:01:36,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
38,38,97,2020-01-01 00:00:38,2020-01-01 00:01:37,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
39,39,98,2020-01-01 00:00:39,2020-01-01 00:01:38,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
40,40,99,2020-01-01 00:00:40,2020-01-01 00:01:39,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
41,41,100,2020-01-01 00:00:41,2020-01-01 00:01:40,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
42,42,101,2020-01-01 00:00:42,2020-01-01 00:01:41,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
43,43,102,2020-01-01 00:00:43,2020-01-01 00:01:42,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
44,44,103,2020-01-01 00:00:44,2020-01-01 00:01:43,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
45,45,104,2020-01-01 00:00:45,2020-01-01 00:01:44,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
46,46,105,2020-01-01 00:00:46,2020-01-01 00:01:45,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
47,47,106,2020-01-01 00:00:47,2020-01-01 00:01:46,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
48,48,107,2020-01-01 00:00:48,2020-01-01 00:01:47,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
49,49,108,2020-01-01 00:00:49,2020-01-01 00:01:48,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
50,50,109,2020-01-01 00:00:50,2020-01-01 00:01:49,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
51,51,110,2020-01-01 00:00:51,2020-01-01 00:01:50,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
52,52,111,2020-01-01 00:00:52,2020-01-01 00:01:51,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
53,53,112,2020-01-01 00:00:53,2020-01-01 00:01:52,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
54,54,113,2020-01-01 00:00:54,2020-01-01 00:01:53,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
55,55,114,2020-01-01 00:00:55,2020-01-01 00:01:54,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
56,56,115,2020-01-01 00:00:56,2020-01-01 00:01:55,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
57,57,116,2020-01-01 00:00:57,2020-01-01 00:01:56,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
58,58,117,2020-01-01 00:00:58,2020-01-01 00:01:57,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
59,59,118,2020-01-01 00:00:59,2020-01-01 00:01:58,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
60,60,119,2020-01-01 00:01:00,2020-01-01 00:01:59,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
61,61,120,2020-01-01 00:01:01,2020-01-01 00:02:00,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
62,62,121,2020-01-01 00:01:02,2020-01-01 00:02:01,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
63,63,122,2020-01-01 00:01:03,2020-01-01 00:02:02,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
64,64,123,2020-01-01 00:01:04,2020-01-01 00:02:03,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
65,65,124,2020-01-01 00:01:05,2020-01-01 00:02:04,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
66,66,125,2020-01-01 00:01:06,2020-01-01 00:02:05,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
67,67,126,2020-01-01 00:01:07,2020-01-01 00:02:06,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
68,68,127,2020-01-01 00:01:08,2020-01-01 00:02:07,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
69,69,128,2020-01-01 00:01:09,2020-01-01 00:02:08,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
70,70,129,2020-01-01 00:01:10,2020-01-01 00:02:09,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
71,71,130,2020-01-01 00:01:11,2020-01-01 00:02:10,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
72,72,131,2020-01-01 00:01:12,2020-01-01 00:02:11,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
73,73,132,2020-01-01 00:01:13,2020-01-01 00:02:12,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
74,74,133,2020-01-01 00:01:14,2020-01-01 00:02:13,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
75,75,134,2020-01-01 00:01:15,2020-01-01 00:02:14,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
76,76,135,2020-01-01 00:01:16,2020-01-01 00:02:15,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
77,77,136,2020-01-01 00:01:17,2020-01-01 00:02:16,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
78,78,137,2020-01-01 00:01:18,2020-01-01 00:02:17,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
79,79,138,2020-01-01 00:01:19,2020-01-01 00:02:18,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
80,80,139,2020-01-01 00:01:20,2020-01-01 00:02:19,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
81,81,140,2020-01-01 00:01:21,2020-01-01 00:02:20,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
82,82,141,2020-01-01 00:01:22,2020-01-01 00:02:21,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
83,83,142,2020-01-01 00:01:23,2020-01-01 00:02:22,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
84,84,143,2020-01-01 00:01:24,2020-01-01 00:02:23,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
85,85,144,2020-01-01 00:01:25,2020-01-01 00:02:24,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
86,86,145,2020-01-01 00:01:26,2020-01-01 00:02:25,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
87,87,146,2020-01-01 00:01:27,2020-01-01 00:02:26,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
88,88,147,2020-01-01 00:01:28,2020-01-01 00:02:27,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
89,89,148,2020-01-01 00:01:29,2020-01-01 00:02:28,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
90,90,149,2020-01-01 00:01:30,2020-01-01 00:02:29,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
91,91,150,2020-01-01 00:01:31,2020-01-01 00:02:30,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
92,92,151,2020-01-01 00:01:32,2020-01-01 00:02:31,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
93,93,152,2020-01-01 00:01:33,2020-01-01 00:02:32,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
94,94,153,2020-01-01 00:01:34,2020-01-01 00:02:33,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
95,95,154,2020-01-01 00:01:35,2020-01-01 00:02:34,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
96,96,155,2020-01-01 00:01:36,2020-01-01 00:02:35,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
97,97,156,2020-01-01 00:01:37,2020-01-01 00:02:36,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
98,98,157,2020-01-01 00:01:38,2020-01-01 00:02:37,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
99,99,158,2020-01-01 00:01:39,2020-01-01 00:02:38,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
100,100,159,2020-01-01 00:01:40,2020-01-01 00:02:39,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
101,101,160,2020-01-01 00:01:41,2020-01-01 00:02:40,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
102,102,161,2020-01-01 00:01:42,2020-01-01 00:02:41,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
103,103,162,2020-01-01 00:01:43,2020-01-01 00:02:42,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
104,104,163,2020-01-01 00:01:44,2020-01-01 00:02:43,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
105,105,164,2020-01-01 00:01:45,2020-01-01 00:02:44,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
106,106,165,2020-01-01 00:01:46,2020-01-01 00:02:45,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
107,107,166,2020-01-01 00:01:47,2020-01-01 00:02:46,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
108,108,167,2020-01-01 00:01:48,2020-01-01 00:02:47,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
109,109,168,2020-01-01 00:01:49,2020-01-01 00:02:48,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
110,110,169,2020-01-01 00:01:50,2020-01-01 00:02:49,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
111,111,170,2020-01-01 00:01:51,2020-01-01 00:02:50,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
112,112,171,2020-01-01 00:01:52,2020-01-01 00:02:51,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
113,113,172,2020-01-01 00:01:53,2020-01-01 00:02:52,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
114,114,173,2020-01-01 00:01:54,2020-01-01 00:02:53,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
115,115,174,2020-01-01 00:01:55,2020-01-01 00:02:54,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
116,116,175,2020-01-01 00:01:56,2020-01-01 00:02:55,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
117,117,176,2020-01-01 00:01:57,2020-01-01 00:02:56,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
118,118,177,2020-01-01 00:01:58,2020-01-01 00:02:57,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
119,119,178,2020-01-01 00:01:59,2020-01-01 00:02:58,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
120,120,179,2020-01-01 00:02:00,2020-01-01 00:02:59,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
121,121,180,2020-01-01 00:02:01,2020-01-01 00:03:00,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
122,122,181,2020-01-01 00:02:02,2020-01-01 00:03:01,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
123,123,182,2020-01-01 00:02:03,2020-01-01 00:03:02,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
124,124,183,2020-01-01 00:02:04,2020-01-01 00:03:03,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
125,125,184,2020-01-01 00:02:05,2020-01-01 00:03:04,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
126,126,185,2020-01-01 00:02:06,2020-01-01 00:03:05,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
127,127,186,2020-01-01 00:02:07,2020-01-01 00:03:06,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
128,128,187,2020-01-01 00:02:08,2020-01-01 00:03:07,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
129,129,188,2020-01-01 00:02:09,2020-01-01 00:03:08,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
130,130,189,2020-01-01 00:02:10,2020-01-01 00:03:09,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
131,131,190,2020-01-01 00:02:11,2020-01-01 00:03:10,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
132,132,191,2020-01-01 00:02:12,2020-01-01 00:03:11,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
133,133,192,2020-01-01 00:02:13,2020-01-01 00:03:12,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
134,134,193,2020-01-01 00:02:14,2020-01-01 00:03:13,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
135,135,194,2020-01-01 00:02:15,2020-01-01 00:03:14,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
136,136,195,2020-01-01 00:02:16,2020-01-01 00:03:15,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
137,137,196,2020-01-01 00:02:17,2020-01-01 00:03:16,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
138,138,197,2020-01-01 00:02:18,2020-01-01 00:03:17,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
139,139,198,2020-01-01 00:02:19,2020-01-01 00:03:18,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
140,140,199,2020-01-01 00:02:20,2020-01-01 00:03:19,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
141,141,200,2020-01-01 00:02:21,2020-01-01 00:03:20,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
142,142,201,2020-01-01 00:02:22,2020-01-01 00:03:21,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
143,143,202,2020-01-01 00:02:23,2020-01-01 00:03:22,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
144,144,203,2020-01-01 00:02:24,2020-01-01 00:03:23,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
145,145,204,2020-01-01 00:02:25,2020-01-01 00:03:24,0.0002996269322466105,0.014492396265268322,1,0.0003754141694766336
146,146,205,2020-01-01 00:02:26,2020-01-01 00:03:25,0.0002996269322466105,0.014493386128119057,1,0.0003754141694766336
147,147,206,2020-01-01 00:02:27,2020-01-01 00:03:26,0.0002996269322466105,0.014499626787645475,1,0.0003754141694766336
