series,win_idx,point_start_idx,point_end_idx,start_time,end_time,score,threshold
D-3,2,2,61,2020-01-01 00:00:02,2020-01-01 00:01:01,0.4301723156656537,0.4840906688145229
D-3,3,3,62,2020-01-01 00:00:03,2020-01-01 00:01:02,0.501894576208932,0.4840906688145229
D-3,4,4,63,2020-01-01 00:00:04,2020-01-01 00:01:03,0.5019841279302324,0.4840906688145229
D-3,5,5,64,2020-01-01 00:00:05,2020-01-01 00:01:04,0.5018907104219709,0.4840906688145229
D-3,6,6,65,2020-01-01 00:00:06,2020-01-01 00:01:05,0.5019034487860543,0.4840906688145229
D-3,7,7,66,2020-01-01 00:00:07,2020-01-01 00:01:06,0.5019579785210746,0.4840906688145229
D-3,8,8,67,2020-01-01 00:00:08,2020-01-01 00:01:07,0.5018715347562517,0.4840906688145229
D-3,9,9,68,2020-01-01 00:00:09,2020-01-01 00:01:08,0.501783013343811,0.4840906688145229
D-3,10,10,69,2020-01-01 00:00:10,2020-01-01 00:01:09,0.5017003842762539,0.4840906688145229
D-3,11,11,70,2020-01-01 00:00:11,2020-01-01 00:01:10,0.5016173379761832,0.4840906688145229
D-3,12,12,71,2020-01-01 00:00:12,2020-01-01 00:01:11,0.5016194581985474,0.4840906688145229
D-3,13,13,72,2020-01-01 00:00:13,2020-01-01 00:01:12,0.5016013639313833,0.4840906688145229
D-3,14,14,73,2020-01-01 00:00:14,2020-01-01 00:01:13,0.5014572228704179,0.4840906688145229
D-3,15,15,74,2020-01-01 00:00:15,2020-01-01 00:01:14,0.5014517818178449,0.4840906688145229
D-3,16,16,75,2020-01-01 00:00:16,2020-01-01 00:01:15,0.5014415809086391,0.4840906688145229
D-3,17,17,76,2020-01-01 00:00:17,2020-01-01 00:01:16,0.5015019263539995,0.4840906688145229
D-3,18,18,77,2020-01-01 00:00:18,2020-01-01 00:01:17,0.5015037400381905,0.4840906688145229
D-3,19,19,78,2020-01-01 00:00:19,2020-01-01 00:01:18,0.5014866505350385,0.4840906688145229
D-3,20,20,79,2020-01-01 00:00:20,2020-01-01 00:01:19,0.501499158995492,0.4840906688145229
D-3,21,21,80,2020-01-01 00:00:21,2020-01-01 00:01:20,0.5015006916863577,0.4840906688145229
D-3,22,22,81,2020-01-01 00:00:22,2020-01-01 00:01:21,0.5015035356794084,0.4840906688145229
D-3,23,23,82,2020-01-01 00:00:23,2020-01-01 00:01:22,0.5015149116516113,0.4840906688145229
D-3,24,24,83,2020-01-01 00:00:24,2020-01-01 00:01:23,0.5014488782201494,0.4840906688145229
D-3,25,25,84,2020-01-01 00:00:25,2020-01-01 00:01:24,0.5014489037649972,0.4840906688145229
D-3,26,26,85,2020-01-01 00:00:26,2020-01-01 00:01:25,0.5015208380562918,0.4840906688145229
D-3,27,27,86,2020-01-01 00:00:27,2020-01-01 00:01:26,0.5015155843326022,0.4840906688145229
D-3,28,28,87,2020-01-01 00:00:28,2020-01-01 00:01:27,0.5015073674065725,0.4840906688145229
D-3,29,29,88,2020-01-01 00:00:29,2020-01-01 00:01:28,0.5015077590942383,0.4840906688145229
D-3,30,30,89,2020-01-01 00:00:30,2020-01-01 00:01:29,0.5015066947255815,0.4840906688145229
D-3,31,31,90,2020-01-01 00:00:31,2020-01-01 00:01:30,0.5015313369887215,0.4840906688145229
D-3,32,32,91,2020-01-01 00:00:32,2020-01-01 00:01:31,0.5015212382589067,0.4840906688145229
D-3,33,33,92,2020-01-01 00:00:33,2020-01-01 00:01:32,0.5014600924083165,0.4840906688145229
D-3,34,34,93,2020-01-01 00:00:34,2020-01-01 00:01:33,0.5014598454747881,0.4840906688145229
D-3,35,35,94,2020-01-01 00:00:35,2020-01-01 00:01:34,0.5014642477035522,0.4840906688145229
D-3,36,36,95,2020-01-01 00:00:36,2020-01-01 00:01:35,0.5014575804982866,0.4840906688145229
D-3,37,37,96,2020-01-01 00:00:37,2020-01-01 00:01:36,0.501461923122406,0.4840906688145229
D-3,38,38,97,2020-01-01 00:00:38,2020-01-01 00:01:37,0.5014516285487584,0.4840906688145229
D-3,39,39,98,2020-01-01 00:00:39,2020-01-01 00:01:38,0.5014801451138088,0.4840906688145229
D-3,40,40,99,2020-01-01 00:00:40,2020-01-01 00:01:39,0.5014896648270742,0.4840906688145229
D-3,41,41,100,2020-01-01 00:00:41,2020-01-01 00:01:40,0.50149439062391,0.4840906688145229
D-3,42,42,101,2020-01-01 00:00:42,2020-01-01 00:01:41,0.5014966811452592,0.4840906688145229
D-3,43,43,102,2020-01-01 00:00:43,2020-01-01 00:01:42,0.5015062093734741,0.4840906688145229
D-3,44,44,103,2020-01-01 00:00:44,2020-01-01 00:01:43,0.5015105434826441,0.4840906688145229
D-3,45,45,104,2020-01-01 00:00:45,2020-01-01 00:01:44,0.5015832270894731,0.4840906688145229
D-3,46,46,105,2020-01-01 00:00:46,2020-01-01 00:01:45,0.5015554598399571,0.4840906688145229
D-3,47,47,106,2020-01-01 00:00:47,2020-01-01 00:01:46,0.5015772495950971,0.4840906688145229
D-3,48,48,107,2020-01-01 00:00:48,2020-01-01 00:01:47,0.5015633787427629,0.4840906688145229
D-3,49,49,108,2020-01-01 00:00:49,2020-01-01 00:01:48,0.5015899879591805,0.4840906688145229
D-3,50,50,109,2020-01-01 00:00:50,2020-01-01 00:01:49,0.5016122630664279,0.4840906688145229
D-3,51,51,110,2020-01-01 00:00:51,2020-01-01 00:01:50,0.5015888895307268,0.4840906688145229
D-3,52,52,111,2020-01-01 00:00:52,2020-01-01 00:01:51,0.5014858501298086,0.4840906688145229
D-3,53,53,112,2020-01-01 00:00:53,2020-01-01 00:01:52,0.5014692289488656,0.4840906688145229
D-3,54,54,113,2020-01-01 00:00:54,2020-01-01 00:01:53,0.5014181903430394,0.4840906688145229
D-3,55,55,114,2020-01-01 00:00:55,2020-01-01 00:01:54,0.5014148354530333,0.4840906688145229
D-3,56,56,115,2020-01-01 00:00:56,2020-01-01 00:01:55,0.5013909254755292,0.4840906688145229
D-3,57,57,116,2020-01-01 00:00:57,2020-01-01 00:01:56,0.5013638138771057,0.4840906688145229
D-3,58,58,117,2020-01-01 00:00:58,2020-01-01 00:01:57,0.5013697147369385,0.4840906688145229
D-3,59,59,118,2020-01-01 00:00:59,2020-01-01 00:01:58,0.5014201828411647,0.4840906688145229
D-3,60,60,119,2020-01-01 00:01:00,2020-01-01 00:01:59,0.5014166150774274,0.4840906688145229
D-3,61,61,120,2020-01-01 00:01:01,2020-01-01 00:02:00,0.5013922452926636,0.4840906688145229
D-3,62,62,121,2020-01-01 00:01:02,2020-01-01 00:02:01,0.5013927817344666,0.4840906688145229
D-3,63,63,122,2020-01-01 00:01:03,2020-01-01 00:02:02,0.5013857483863831,0.4840906688145229
D-3,64,64,123,2020-01-01 00:01:04,2020-01-01 00:02:03,0.5014319334711347,0.4840906688145229
D-3,65,65,124,2020-01-01 00:01:05,2020-01-01 00:02:04,0.5014773266656058,0.4840906688145229
D-3,66,66,125,2020-01-01 00:01:06,2020-01-01 00:02:05,0.5014331766537257,0.4840906688145229
D-3,67,67,126,2020-01-01 00:01:07,2020-01-01 00:02:06,0.5014416660581316,0.4840906688145229
D-3,68,68,127,2020-01-01 00:01:08,2020-01-01 00:02:07,0.501457495348794,0.4840906688145229
D-3,69,69,128,2020-01-01 00:01:09,2020-01-01 00:02:08,0.5014411296163286,0.4840906688145229
D-3,70,70,129,2020-01-01 00:01:10,2020-01-01 00:02:09,0.501415695462908,0.4840906688145229
D-3,71,71,130,2020-01-01 00:01:11,2020-01-01 00:02:10,0.5013315081596375,0.4840906688145229
D-3,72,72,131,2020-01-01 00:01:12,2020-01-01 00:02:11,0.5012667179107666,0.4840906688145229
D-3,73,73,132,2020-01-01 00:01:13,2020-01-01 00:02:12,0.5013074193681989,0.4840906688145229
D-3,74,74,133,2020-01-01 00:01:14,2020-01-01 00:02:13,0.5013822742870875,0.4840906688145229
D-3,75,75,134,2020-01-01 00:01:15,2020-01-01 00:02:14,0.5014722943305968,0.4840906688145229
D-3,76,76,135,2020-01-01 00:01:16,2020-01-01 00:02:15,0.501540618283408,0.4840906688145229
D-3,77,77,136,2020-01-01 00:01:17,2020-01-01 00:02:16,0.501590711729867,0.4840906688145229
D-3,78,78,137,2020-01-01 00:01:18,2020-01-01 00:02:17,0.5016954456056867,0.4840906688145229
D-3,79,79,138,2020-01-01 00:01:19,2020-01-01 00:02:18,0.5017485618591309,0.4840906688145229
D-3,80,80,139,2020-01-01 00:01:20,2020-01-01 00:02:19,0.5017796839986528,0.4840906688145229
D-3,81,81,140,2020-01-01 00:01:21,2020-01-01 00:02:20,0.5017496262277875,0.4840906688145229
D-3,82,82,141,2020-01-01 00:01:22,2020-01-01 00:02:21,0.5017220548221043,0.4840906688145229
D-3,83,83,142,2020-01-01 00:01:23,2020-01-01 00:02:22,0.5017221740313939,0.4840906688145229
D-3,84,84,143,2020-01-01 00:01:24,2020-01-01 00:02:23,0.5017890930175781,0.4840906688145229
D-3,85,85,144,2020-01-01 00:01:25,2020-01-01 00:02:24,0.5017790964671544,0.4840906688145229
D-3,86,86,145,2020-01-01 00:01:26,2020-01-01 00:02:25,0.5017765419823783,0.4840906688145229
D-3,87,87,146,2020-01-01 00:01:27,2020-01-01 00:02:26,0.5017366920198714,0.4840906688145229
D-3,88,88,147,2020-01-01 00:01:28,2020-01-01 00:02:27,0.5016982299940926,0.4840906688145229
D-3,89,89,148,2020-01-01 00:01:29,2020-01-01 00:02:28,0.5016459737505231,0.4840906688145229
D-3,90,90,149,2020-01-01 00:01:30,2020-01-01 00:02:29,0.5015964337757655,0.4840906688145229
D-3,91,91,150,2020-01-01 00:01:31,2020-01-01 00:02:30,0.5015428236552647,0.4840906688145229
D-3,92,92,151,2020-01-01 00:01:32,2020-01-01 00:02:31,0.5014691182545253,0.4840906688145229
D-3,93,93,152,2020-01-01 00:01:33,2020-01-01 00:02:32,0.501486131123134,0.4840906688145229
D-3,94,94,153,2020-01-01 00:01:34,2020-01-01 00:02:33,0.5014393244470868,0.4840906688145229
D-3,95,95,154,2020-01-01 00:01:35,2020-01-01 00:02:34,0.5014145970344543,0.4840906688145229
D-3,96,96,155,2020-01-01 00:01:36,2020-01-01 00:02:35,0.5013962302889142,0.4840906688145229
D-3,97,97,156,2020-01-01 00:01:37,2020-01-01 00:02:36,0.5013618554387774,0.4840906688145229
D-3,98,98,157,2020-01-01 00:01:38,2020-01-01 00:02:37,0.5013039622988019,0.4840906688145229
D-3,99,99,158,2020-01-01 00:01:39,2020-01-01 00:02:38,0.5012968267713274,0.4840906688145229
D-3,100,100,159,2020-01-01 00:01:40,2020-01-01 00:02:39,0.5012150406837463,0.4840906688145229
D-3,101,101,160,2020-01-01 00:01:41,2020-01-01 00:02:40,0.5012226104736327,0.4840906688145229
D-3,102,102,161,2020-01-01 00:01:42,2020-01-01 00:02:41,0.501243497644152,0.4840906688145229
D-3,103,103,162,2020-01-01 00:01:43,2020-01-01 00:02:42,0.5013134564672198,0.4840906688145229
D-3,104,104,163,2020-01-01 00:01:44,2020-01-01 00:02:43,0.5013330408505031,0.4840906688145229
D-3,105,105,164,2020-01-01 00:01:45,2020-01-01 00:02:44,0.501314503805978,0.4840906688145229
D-3,106,106,165,2020-01-01 00:01:46,2020-01-01 00:02:45,0.5013092756271362,0.4840906688145229
D-3,107,107,166,2020-01-01 00:01:47,2020-01-01 00:02:46,0.5013273358345032,0.4840906688145229
D-3,108,108,167,2020-01-01 00:01:48,2020-01-01 00:02:47,0.5013170668057033,0.4840906688145229
D-3,109,109,168,2020-01-01 00:01:49,2020-01-01 00:02:48,0.5013032044683183,0.4840906688145229
D-3,110,110,169,2020-01-01 00:01:50,2020-01-01 00:02:49,0.5012622986521039,0.4840906688145229
D-3,111,111,170,2020-01-01 00:01:51,2020-01-01 00:02:50,0.5012535282543726,0.4840906688145229
D-3,112,112,171,2020-01-01 00:01:52,2020-01-01 00:02:51,0.5012715629168918,0.4840906688145229
D-3,113,113,172,2020-01-01 00:01:53,2020-01-01 00:02:52,0.5012827600751604,0.4840906688145229
D-3,114,114,173,2020-01-01 00:01:54,2020-01-01 00:02:53,0.50130923305239,0.4840906688145229
D-3,115,115,174,2020-01-01 00:01:55,2020-01-01 00:02:54,0.5013517822538103,0.4840906688145229
D-3,116,116,175,2020-01-01 00:01:56,2020-01-01 00:02:55,0.5013717412948608,0.4840906688145229
D-3,117,117,176,2020-01-01 00:01:57,2020-01-01 00:02:56,0.5013656786509922,0.4840906688145229
D-3,118,118,177,2020-01-01 00:01:58,2020-01-01 00:02:57,0.5013802903039114,0.4840906688145229
D-3,119,119,178,2020-01-01 00:01:59,2020-01-01 00:02:58,0.5013880048479352,0.4840906688145229
D-3,120,120,179,2020-01-01 00:02:00,2020-01-01 00:02:59,0.5013909510203771,0.4840906688145229
D-3,121,121,180,2020-01-01 00:02:01,2020-01-01 00:03:00,0.5013803328786577,0.4840906688145229
D-3,122,122,181,2020-01-01 00:02:02,2020-01-01 00:03:01,0.5013938120433262,0.4840906688145229
D-3,123,123,182,2020-01-01 00:02:03,2020-01-01 00:03:02,0.5013636010033743,0.4840906688145229
D-3,124,124,183,2020-01-01 00:02:04,2020-01-01 00:03:03,0.5013402189527238,0.4840906688145229
D-3,125,125,184,2020-01-01 00:02:05,2020-01-01 00:03:04,0.5013308184487478,0.4840906688145229
D-3,126,126,185,2020-01-01 00:02:06,2020-01-01 00:03:05,0.5013116768428256,0.4840906688145229
D-3,127,127,186,2020-01-01 00:02:07,2020-01-01 00:03:06,0.5012904320444379,0.4840906688145229
D-3,128,128,187,2020-01-01 00:02:08,2020-01-01 00:03:07,0.5012606297220503,0.4840906688145229
D-3,129,129,188,2020-01-01 00:02:09,2020-01-01 00:03:08,0.5011934552873883,0.4840906688145229
D-3,130,130,189,2020-01-01 00:02:10,2020-01-01 00:03:09,0.501174807548523,0.4840906688145229
D-3,131,131,190,2020-01-01 00:02:11,2020-01-01 00:03:10,0.5011736410004751,0.4840906688145229
D-3,132,132,191,2020-01-01 00:02:12,2020-01-01 00:03:11,0.5011602129255023,0.4840906688145229
D-3,133,133,192,2020-01-01 00:02:13,2020-01-01 00:03:12,0.5011390362467084,0.4840906688145229
D-3,134,134,193,2020-01-01 00:02:14,2020-01-01 00:03:13,0.5011265788759504,0.4840906688145229
D-3,135,135,194,2020-01-01 00:02:15,2020-01-01 00:03:14,0.5011491264615741,0.4840906688145229
D-3,136,136,195,2020-01-01 00:02:16,2020-01-01 00:03:15,0.5011711972100393,0.4840906688145229
D-3,137,137,196,2020-01-01 00:02:17,2020-01-01 00:03:16,0.5011730108942304,0.4840906688145229
D-3,138,138,197,2020-01-01 00:02:18,2020-01-01 00:03:17,0.5011619074004037,0.4840906688145229
D-3,139,139,198,2020-01-01 00:02:19,2020-01-01 00:03:18,0.501145771571568,0.4840906688145229
D-3,140,140,199,2020-01-01 00:02:20,2020-01-01 00:03:19,0.5012190001351493,0.4840906688145229
D-3,141,141,200,2020-01-01 00:02:21,2020-01-01 00:03:20,0.5011993050575256,0.4840906688145229
D-3,142,142,201,2020-01-01 00:02:22,2020-01-01 00:03:21,0.5011778388704572,0.4840906688145229
D-3,143,143,202,2020-01-01 00:02:23,2020-01-01 00:03:22,0.5011574285370962,0.4840906688145229
D-3,144,144,203,2020-01-01 00:02:24,2020-01-01 00:03:23,0.5011721168245588,0.4840906688145229
D-3,145,145,204,2020-01-01 00:02:25,2020-01-01 00:03:24,0.5011817642620631,0.4840906688145229
D-3,146,146,205,2020-01-01 00:02:26,2020-01-01 00:03:25,0.501198785645621,0.4840906688145229
D-3,147,147,206,2020-01-01 00:02:27,2020-01-01 00:03:26,0.5011384061404636,0.4840906688145229
D-3,148,148,207,2020-01-01 00:02:28,2020-01-01 00:03:27,0.5011595487594604,0.4840906688145229
D-3,149,149,208,2020-01-01 00:02:29,2020-01-01 00:03:28,0.5011676124164036,0.4840906688145229
D-3,150,150,209,2020-01-01 00:02:30,2020-01-01 00:03:29,0.5011637721742902,0.4840906688145229
D-3,151,151,210,2020-01-01 00:02:31,2020-01-01 00:03:30,0.5011864900588989,0.4840906688145229
D-3,152,152,211,2020-01-01 00:02:32,2020-01-01 00:03:31,0.5012037754058838,0.4840906688145229
D-3,153,153,212,2020-01-01 00:02:33,2020-01-01 00:03:32,0.5012199623244149,0.4840906688145229
D-3,154,154,213,2020-01-01 00:02:34,2020-01-01 00:03:33,0.5012413518769401,0.4840906688145229
D-3,155,155,214,2020-01-01 00:02:35,2020-01-01 00:03:34,0.5012946384293693,0.4840906688145229
D-3,156,156,215,2020-01-01 00:02:36,2020-01-01 00:03:35,0.5013029064450945,0.4840906688145229
D-3,157,157,216,2020-01-01 00:02:37,2020-01-01 00:03:36,0.5013340285846165,0.4840906688145229
D-3,158,158,217,2020-01-01 00:02:38,2020-01-01 00:03:37,0.5013656105313982,0.4840906688145229
D-3,159,159,218,2020-01-01 00:02:39,2020-01-01 00:03:38,0.5014322996139526,0.4840906688145229
D-3,160,160,219,2020-01-01 00:02:40,2020-01-01 00:03:39,0.5014462811606271,0.4840906688145229
D-3,161,161,220,2020-01-01 00:02:41,2020-01-01 00:03:40,0.5014593771525792,0.4840906688145229
D-3,162,162,221,2020-01-01 00:02:42,2020-01-01 00:03:41,0.5014938797269548,0.4840906688145229
D-3,163,163,222,2020-01-01 00:02:43,2020-01-01 00:03:42,0.5014914529664176,0.4840906688145229
D-3,164,164,223,2020-01-01 00:02:44,2020-01-01 00:03:43,0.5014837895120894,0.4840906688145229
D-3,165,165,224,2020-01-01 00:02:45,2020-01-01 00:03:44,0.501450104372842,0.4840906688145229
D-3,166,166,225,2020-01-01 00:02:46,2020-01-01 00:03:45,0.501386216708592,0.4840906688145229
D-3,167,167,226,2020-01-01 00:02:47,2020-01-01 00:03:46,0.5013594882828848,0.4840906688145229
D-3,168,168,227,2020-01-01 00:02:48,2020-01-01 00:03:47,0.5013493299484252,0.4840906688145229
D-3,169,169,228,2020-01-01 00:02:49,2020-01-01 00:03:48,0.5012847440583365,0.4840906688145229
D-3,170,170,229,2020-01-01 00:02:50,2020-01-01 00:03:49,0.5012833731515066,0.4840906688145229
D-3,171,171,230,2020-01-01 00:02:51,2020-01-01 00:03:50,0.5012768847601754,0.4840906688145229
D-3,172,172,231,2020-01-01 00:02:52,2020-01-01 00:03:51,0.5012673139572142,0.4840906688145229
D-3,173,173,232,2020-01-01 00:02:53,2020-01-01 00:03:52,0.5012599144663129,0.4840906688145229
D-3,174,174,233,2020-01-01 00:02:54,2020-01-01 00:03:53,0.5012699450765338,0.4840906688145229
D-3,175,175,234,2020-01-01 00:02:55,2020-01-01 00:03:54,0.501261898449489,0.4840906688145229
D-3,176,176,235,2020-01-01 00:02:56,2020-01-01 00:03:55,0.5012554781777517,0.4840906688145229
D-3,177,177,236,2020-01-01 00:02:57,2020-01-01 00:03:56,0.5012475763048444,0.4840906688145229
D-3,178,178,237,2020-01-01 00:02:58,2020-01-01 00:03:57,0.5012441022055489,0.4840906688145229
D-3,179,179,238,2020-01-01 00:02:59,2020-01-01 00:03:58,0.5012475422450474,0.4840906688145229
D-3,180,180,239,2020-01-01 00:03:00,2020-01-01 00:03:59,0.5012568916593279,0.4840906688145229
D-3,181,181,240,2020-01-01 00:03:01,2020-01-01 00:04:00,0.5013037153652735,0.4840906688145229
D-3,182,182,241,2020-01-01 00:03:02,2020-01-01 00:04:01,0.5013030001095363,0.4840906688145229
D-3,183,183,242,2020-01-01 00:03:03,2020-01-01 00:04:02,0.5013054609298705,0.4840906688145229
D-3,184,184,243,2020-01-01 00:03:04,2020-01-01 00:04:03,0.5013154489653451,0.4840906688145229
D-3,185,185,244,2020-01-01 00:03:05,2020-01-01 00:04:04,0.5013355953352792,0.4840906688145229
D-3,186,186,245,2020-01-01 00:03:06,2020-01-01 00:04:05,0.5013487339019774,0.4840906688145229
D-3,187,187,246,2020-01-01 00:03:07,2020-01-01 00:04:06,0.5013447489057269,0.4840906688145229
D-3,188,188,247,2020-01-01 00:03:08,2020-01-01 00:04:07,0.5012903724397931,0.4840906688145229
D-3,189,189,248,2020-01-01 00:03:09,2020-01-01 00:04:08,0.5012779320989336,0.4840906688145229
D-3,190,190,249,2020-01-01 00:03:10,2020-01-01 00:04:09,0.5012687018939427,0.4840906688145229
D-3,191,191,250,2020-01-01 00:03:11,2020-01-01 00:04:10,0.5012572578021458,0.4840906688145229
D-3,192,192,251,2020-01-01 00:03:12,2020-01-01 00:04:11,0.5012369155883789,0.4840906688145229
D-3,193,193,252,2020-01-01 00:03:13,2020-01-01 00:04:12,0.5012170246669223,0.4840906688145229
D-3,194,194,253,2020-01-01 00:03:14,2020-01-01 00:04:13,0.5012041330337524,0.4840906688145229
D-3,195,195,254,2020-01-01 00:03:15,2020-01-01 00:04:14,0.5012051292828151,0.4840906688145229
D-3,196,196,255,2020-01-01 00:03:16,2020-01-01 00:04:15,0.5012070536613464,0.4840906688145229
D-3,197,197,256,2020-01-01 00:03:17,2020-01-01 00:04:16,0.5012118560927254,0.4840906688145229
D-3,198,198,257,2020-01-01 00:03:18,2020-01-01 00:04:17,0.5012095740863255,0.4840906688145229
D-3,199,199,258,2020-01-01 00:03:19,2020-01-01 00:04:18,0.5012056657246181,0.4840906688145229
D-3,200,200,259,2020-01-01 00:03:20,2020-01-01 00:04:19,0.5012406962258474,0.4840906688145229
D-3,201,201,260,2020-01-01 00:03:21,2020-01-01 00:04:20,0.5012396744319371,0.4840906688145229
D-3,202,202,261,2020-01-01 00:03:22,2020-01-01 00:04:21,0.501233901296343,0.4840906688145229
D-3,203,203,262,2020-01-01 00:03:23,2020-01-01 00:04:22,0.5012316192899431,0.4840906688145229
D-3,204,204,263,2020-01-01 00:03:24,2020-01-01 00:04:23,0.5012030601501465,0.4840906688145229
D-3,205,205,264,2020-01-01 00:03:25,2020-01-01 00:04:24,0.501203886100224,0.4840906688145229
D-3,206,206,265,2020-01-01 00:03:26,2020-01-01 00:04:25,0.5012124606541224,0.4840906688145229
D-3,207,207,266,2020-01-01 00:03:27,2020-01-01 00:04:26,0.5011553423745291,0.4840906688145229
D-3,208,208,267,2020-01-01 00:03:28,2020-01-01 00:04:27,0.5011529156139918,0.4840906688145229
D-3,209,209,268,2020-01-01 00:03:29,2020-01-01 00:04:28,0.501122270311628,0.4840906688145229
D-3,210,210,269,2020-01-01 00:03:30,2020-01-01 00:04:29,0.5011269279888697,0.4840906688145229
