series,start_idx,end_idx,start_time,end_time,win_start,win_end,score_max,score_mean,threshold
D-6,4856,5091,2020-01-01 01:20:56,2020-01-01 01:24:51,4856,5032,0.9428449698856898,0.31746509500403,0.0010169580345973372
D-6,723,937,2020-01-01 00:12:03,2020-01-01 00:15:37,723,878,0.0011578867145414862,0.0010959888861093315,0.0010169580345973372
D-6,369,554,2020-01-01 00:06:09,2020-01-01 00:09:14,369,495,0.001143924010518406,0.001083939080624197,0.0010169580345973372
D-6,3,196,2020-01-01 00:00:03,2020-01-01 00:03:16,3,137,0.0011410621227696538,0.0010870812482954488,0.0010169580345973372
D-6,3947,4094,2020-01-01 01:05:47,2020-01-01 01:08:14,3947,4035,0.001124796607265515,0.0010785681109974103,0.0010169580345973372
D-6,5219,5406,2020-01-01 01:26:59,2020-01-01 01:30:06,5219,5347,0.0011232844387580243,0.0010822637897224092,0.0010169580345973372
D-6,4224,4389,2020-01-01 01:10:24,2020-01-01 01:13:09,4224,4330,0.0011208784833018268,0.001065138336836804,0.0010169580345973372
D-6,6225,6361,2020-01-01 01:43:45,2020-01-01 01:46:01,6225,6302,0.0011181876429223587,0.0010609546228100444,0.0010169580345973372
D-6,2971,3132,2020-01-01 00:49:31,2020-01-01 00:52:12,2971,3073,0.0011159673699044756,0.0010666554401681635,0.0010169580345973372
D-6,5583,5745,2020-01-01 01:33:03,2020-01-01 01:35:45,5583,5686,0.0011146085702681114,0.0010641467439939502,0.0010169580345973372
D-6,3325,3456,2020-01-01 00:55:25,2020-01-01 00:57:36,3325,3397,0.001110079847941441,0.0010702414178415227,0.0010169580345973372
D-6,3647,3791,2020-01-01 01:00:47,2020-01-01 01:03:11,3647,3732,0.001104080899884658,0.0010515306308553044,0.0010169580345973372
D-6,6621,6757,2020-01-01 01:50:21,2020-01-01 01:52:37,6621,6698,0.001093475447435464,0.0010494513852068055,0.0010169580345973372
D-6,7254,7397,2020-01-01 02:00:54,2020-01-01 02:03:17,7254,7338,0.0010892446485481092,0.0010563010614005333,0.0010169580345973372
D-6,985,1153,2020-01-01 00:16:25,2020-01-01 00:19:13,985,1094,0.001088515156880021,0.0010524003442933226,0.0010169580345973372
D-6,5910,6032,2020-01-01 01:38:30,2020-01-01 01:40:32,5910,5973,0.0010746334945516928,0.0010481090562929499,0.0010169580345973372
D-6,2308,2440,2020-01-01 00:38:28,2020-01-01 00:40:40,2308,2381,0.001072664445798312,0.0010413432012412798,0.0010169580345973372
D-6,2662,2742,2020-01-01 00:44:22,2020-01-01 00:45:42,2662,2683,0.0010702819230833224,0.001045544713421108,0.0010169580345973372
D-6,7537,7627,2020-01-01 02:05:37,2020-01-01 02:07:07,7537,7568,0.0010678899707272647,0.0010456186490565805,0.0010169580345973372
D-6,4568,4678,2020-01-01 01:16:08,2020-01-01 01:17:58,4568,4619,0.001062925056820469,0.001034910236050344,0.0010169580345973372
D-6,2043,2124,2020-01-01 00:34:03,2020-01-01 00:35:24,2043,2065,0.001055265011798058,0.0010344363952934834,0.0010169580345973372
D-6,2696,2779,2020-01-01 00:44:56,2020-01-01 00:46:19,2696,2720,0.0010501921309956483,0.0010353626277563826,0.0010169580345973372
D-6,7000,7069,2020-01-01 01:56:40,2020-01-01 01:57:49,7000,7010,0.0010424858524597117,0.0010313302862107172,0.0010169580345973372
D-6,7582,7653,2020-01-01 02:06:22,2020-01-01 02:07:33,7582,7594,0.0010417795274406672,0.001030238525645173,0.0010169580345973372
D-6,7029,7102,2020-01-01 01:57:09,2020-01-01 01:58:22,7029,7043,0.001041189068928361,0.0010317502543330192,0.0010169580345973372
D-6,2014,2080,2020-01-01 00:33:34,2020-01-01 00:34:40,2014,2021,0.0010338797333783335,0.0010278998795131755,0.0010169580345973372
D-6,7573,7638,2020-01-01 02:06:13,2020-01-01 02:07:18,7573,7579,0.0010223298034231576,0.0010197992669418452,0.0010169580345973372
