win_index,start_idx,end_idx,timestamp_start,timestamp_end,recon_mse,score,y_pred,threshold
0,0,59,2020-01-01 00:00:00,2020-01-01 00:00:59,0.00010815840505529195,0.0007289455804441657,0,0.4742532627923147
1,1,60,2020-01-01 00:00:01,2020-01-01 00:01:00,0.00010815840505529195,0.0009111819755552071,0,0.4742532627923147
2,2,61,2020-01-01 00:00:02,2020-01-01 00:01:01,0.00010815840505529195,0.0010934183706662484,0,0.4742532627923147
3,3,62,2020-01-01 00:00:03,2020-01-01 00:01:02,0.00010815840505529195,0.0012756547657772899,0,0.4742532627923147
4,4,63,2020-01-01 00:00:04,2020-01-01 00:01:03,0.00010815840505529195,0.0012756547657772899,0,0.4742532627923147
5,5,64,2020-01-01 00:00:05,2020-01-01 00:01:04,0.00010815840505529195,0.0012756547657772899,0,0.4742532627923147
6,6,65,2020-01-01 00:00:06,2020-01-01 00:01:05,0.00010815840505529195,0.0012756547657772899,0,0.4742532627923147
7,7,66,2020-01-01 00:00:07,2020-01-01 00:01:06,0.00010815840505529195,0.0012756547657772899,0,0.4742532627923147
8,8,67,2020-01-01 00:00:08,2020-01-01 00:01:07,0.00010815840505529195,0.0012756547657772899,0,0.4742532627923147
9,9,68,2020-01-01 00:00:09,2020-01-01 00:01:08,0.00010815840505529195,0.0012756547657772899,0,0.4742532627923147
10,10,69,2020-01-01 00:00:10,2020-01-01 00:01:09,0.00010815840505529195,0.0012756547657772899,0,0.4742532627923147
11,11,70,2020-01-01 00:00:11,2020-01-01 00:01:10,0.00010815840505529195,0.0012756547657772899,0,0.4742532627923147
12,12,71,2020-01-01 00:00:12,2020-01-01 00:01:11,0.00010815840505529195,0.0012756547657772899,0,0.4742532627923147
13,13,72,2020-01-01 00:00:13,2020-01-01 00:01:12,0.00010815840505529195,0.0012756547657772899,0,0.4742532627923147
14,14,73,2020-01-01 00:00:14,2020-01-01 00:01:13,0.00010815840505529195,0.0012756547657772899,0,0.4742532627923147
15,15,74,2020-01-01 00:00:15,2020-01-01 00:01:14,0.00010815840505529195,0.0012756547657772899,0,0.4742532627923147
16,16,75,2020-01-01 00:00:16,2020-01-01 00:01:15,0.00010815840505529195,0.0012756547657772899,0,0.4742532627923147
17,17,76,2020-01-01 00:00:17,2020-01-01 00:01:16,0.00010815840505529195,0.0012756547657772899,0,0.4742532627923147
18,18,77,2020-01-01 00:00:18,2020-01-01 00:01:17,0.00010815840505529195,0.0012756547657772899,0,0.4742532627923147
19,19,78,2020-01-01 00:00:19,2020-01-01 00:01:18,0.00010815840505529195,0.021954773692414165,0,0.4742532627923147
20,20,79,2020-01-01 00:00:20,2020-01-01 00:01:19,0.00010815840505529195,0.05011038633529097,0,0.4742532627923147
21,21,80,2020-01-01 00:00:21,2020-01-01 00:01:20,0.00010815840505529195,0.0779138440931482,0,0.4742532627923147
22,22,81,2020-01-01 00:00:22,2020-01-01 00:01:21,0.0012714038603007793,0.10310643533843436,0,0.4742532627923147
23,23,82,2020-01-01 00:00:23,2020-01-01 00:01:22,0.001902570016682148,0.12696551102479653,0,0.4742532627923147
24,24,83,2020-01-01 00:00:24,2020-01-01 00:01:23,0.0019231010228395462,0.1501042049744033,0,0.4742532627923147
25,25,84,2020-01-01 00:00:25,2020-01-01 00:01:24,0.0015316904755309224,0.17263966160161154,0,0.4742532627923147
26,26,85,2020-01-01 00:00:26,2020-01-01 00:01:25,0.0013460402842611074,0.17395673053605212,0,0.4742532627923147
27,27,86,2020-01-01 00:00:27,2020-01-01 00:01:26,0.0012652568984776735,0.16739106816904883,0,0.4742532627923147
28,28,87,2020-01-01 00:00:28,2020-01-01 00:01:27,0.0011917207157239318,0.16088696888514928,0,0.4742532627923147
29,29,88,2020-01-01 00:00:29,2020-01-01 00:01:28,0.0011297940509393811,0.15681787048067364,0,0.4742532627923147
30,30,89,2020-01-01 00:00:30,2020-01-01 00:01:29,0.0010865338845178485,0.15401180940014975,0,0.4742532627923147
31,31,90,2020-01-01 00:00:31,2020-01-01 00:01:30,0.0010616960935294628,0.15200352030141012,0,0.4742532627923147
32,32,91,2020-01-01 00:00:32,2020-01-01 00:01:31,0.0010536648333072662,0.15085514741284506,0,0.4742532627923147
33,33,92,2020-01-01 00:00:33,2020-01-01 00:01:32,0.0010618382366374135,0.16457079776695796,0,0.4742532627923147
34,34,93,2020-01-01 00:00:34,2020-01-01 00:01:33,0.0010897716274484992,0.18574005365371704,0,0.4742532627923147
35,35,94,2020-01-01 00:00:35,2020-01-01 00:01:34,0.0011441095266491175,0.20669708507401602,0,0.4742532627923147
36,36,95,2020-01-01 00:00:36,2020-01-01 00:01:35,0.0019333541858941317,0.22685917573315756,0,0.4742532627923147
37,37,96,2020-01-01 00:00:37,2020-01-01 00:01:36,0.0020910105668008327,0.24632600801331656,0,0.4742532627923147
38,38,97,2020-01-01 00:00:38,2020-01-01 00:01:37,0.0020420753862708807,0.2652632423809596,0,0.4742532627923147
39,39,98,2020-01-01 00:00:39,2020-01-01 00:01:38,0.0019295061938464642,0.28365213530404226,0,0.4742532627923147
40,40,99,2020-01-01 00:00:40,2020-01-01 00:01:39,0.001834395807236433,0.2875327212469918,0,0.4742532627923147
41,41,100,2020-01-01 00:00:41,2020-01-01 00:01:40,0.001776687684468925,0.2842903435230255,0,0.4742532627923147
42,42,101,2020-01-01 00:00:42,2020-01-01 00:01:41,0.001745517016388476,0.2815173310892922,0,0.4742532627923147
43,43,102,2020-01-01 00:00:43,2020-01-01 00:01:42,0.001731170923449099,0.27969264558383394,0,0.4742532627923147
44,44,103,2020-01-01 00:00:44,2020-01-01 00:01:43,0.001727339462377131,0.27862999268940514,0,0.4742532627923147
45,45,104,2020-01-01 00:00:45,2020-01-01 00:01:44,0.0017303996719419956,0.2779971616608756,0,0.4742532627923147
46,46,105,2020-01-01 00:00:46,2020-01-01 00:01:45,0.0017358754994347692,0.27767523271696903,0,0.4742532627923147
47,47,106,2020-01-01 00:00:47,2020-01-01 00:01:46,0.0017429535510018468,0.27751221401350834,0,0.4742532627923147
48,48,107,2020-01-01 00:00:48,2020-01-01 00:01:47,0.001749421819113195,0.27740977917398724,0,0.4742532627923147
49,49,108,2020-01-01 00:00:49,2020-01-01 00:01:48,0.001756136305630207,0.2773543766566685,0,0.4742532627923147
50,50,109,2020-01-01 00:00:50,2020-01-01 00:01:49,0.0017602703301236033,0.27733317017555237,0,0.4742532627923147
51,51,110,2020-01-01 00:00:51,2020-01-01 00:01:50,0.0017635460244491696,0.27732753753662104,0,0.4742532627923147
52,52,111,2020-01-01 00:00:52,2020-01-01 00:01:51,0.0017654120456427336,0.2773725007261548,0,0.4742532627923147
53,53,112,2020-01-01 00:00:53,2020-01-01 00:01:52,0.0017654502298682928,0.2774217299052647,0,0.4742532627923147
54,54,113,2020-01-01 00:00:54,2020-01-01 00:01:53,0.00176426291000098,0.2775213718414306,0,0.4742532627923147
55,55,114,2020-01-01 00:00:55,2020-01-01 00:01:54,0.0017614540411159396,0.2776557079383305,0,0.4742532627923147
56,56,115,2020-01-01 00:00:56,2020-01-01 00:01:55,0.0017580535495653749,0.27780361686434063,0,0.4742532627923147
57,57,116,2020-01-01 00:00:57,2020-01-01 00:01:56,0.001754065160639584,0.2779187176908765,0,0.4742532627923147
58,58,117,2020-01-01 00:00:58,2020-01-01 00:01:57,0.0017495754873380065,0.27801932607378277,0,0.4742532627923147
59,59,118,2020-01-01 00:00:59,2020-01-01 00:01:58,0.0017453336622565985,0.27805523787225994,0,0.4742532627923147
60,60,119,2020-01-01 00:01:00,2020-01-01 00:01:59,0.0017380148638039827,0.27803573863846914,0,0.4742532627923147
61,61,120,2020-01-01 00:01:01,2020-01-01 00:02:00,0.0017308329697698355,0.2778776202883039,0,0.4742532627923147
62,62,121,2020-01-01 00:01:02,2020-01-01 00:02:01,0.0017195214750245214,0.27802223392895287,0,0.4742532627923147
63,63,122,2020-01-01 00:01:03,2020-01-01 00:02:02,0.001701400033198297,0.27800987873758587,0,0.4742532627923147
64,64,123,2020-01-01 00:01:04,2020-01-01 00:02:03,0.0016715043457224965,0.27786966306822636,0,0.4742532627923147
65,65,124,2020-01-01 00:01:05,2020-01-01 00:02:04,0.0016856378642842174,0.2776688720498766,0,0.4742532627923147
66,66,125,2020-01-01 00:01:06,2020-01-01 00:02:05,0.0016908684046939015,0.2775197667734963,0,0.4742532627923147
67,67,126,2020-01-01 00:01:07,2020-01-01 00:02:06,0.0016928240656852722,0.27756284815924503,0,0.4742532627923147
68,68,127,2020-01-01 00:01:08,2020-01-01 00:02:07,0.0016969452844932675,0.27802575911794386,0,0.4742532627923147
69,69,128,2020-01-01 00:01:09,2020-01-01 00:02:08,0.0017031944589689374,0.2786893844604492,0,0.4742532627923147
70,70,129,2020-01-01 00:01:10,2020-01-01 00:02:09,0.001712024211883545,0.280232948916299,0,0.4742532627923147
71,71,130,2020-01-01 00:01:11,2020-01-01 00:02:10,0.0017323513748124242,0.2829365219388689,0,0.4742532627923147
72,72,131,2020-01-01 00:01:12,2020-01-01 00:02:11,0.0017957874806597829,0.28684424076761517,0,0.4742532627923147
73,73,132,2020-01-01 00:01:13,2020-01-01 00:02:12,0.0019148129504173994,0.29188314931733267,0,0.4742532627923147
74,74,133,2020-01-01 00:01:14,2020-01-01 00:02:13,0.0020674639381468296,0.2977854481765202,0,0.4742532627923147
75,75,134,2020-01-01 00:01:15,2020-01-01 00:02:14,0.0022145051043480635,0.30392153773988995,0,0.4742532627923147
76,76,135,2020-01-01 00:01:16,2020-01-01 00:02:15,0.0023689253721386194,0.3085023718220847,0,0.4742532627923147
77,77,136,2020-01-01 00:01:17,2020-01-01 00:02:16,0.002521056681871414,0.31190486039434157,0,0.4742532627923147
78,78,137,2020-01-01 00:01:18,2020-01-01 00:02:17,0.002546665258705616,0.3005200986351285,0,0.4742532627923147
79,79,138,2020-01-01 00:01:19,2020-01-01 00:02:18,0.0023596128448843956,0.2800577857664653,0,0.4742532627923147
80,80,139,2020-01-01 00:01:20,2020-01-01 00:02:19,0.0020778742618858814,0.2583797701767513,0,0.4742532627923147
81,81,140,2020-01-01 00:01:21,2020-01-01 00:02:20,0.0017763173673301935,0.23591458371707372,0,0.4742532627923147
82,82,141,2020-01-01 00:01:22,2020-01-01 00:02:21,0.0012740599922835827,0.21345165159021104,0,0.4742532627923147
