series,start_idx,end_idx,start_time,end_time,win_start,win_end,score_max,score_mean,threshold
F-1,1761,1885,2020-01-01 00:29:21,2020-01-01 00:31:25,1761,1826,0.9468052983283997,0.786426323961902,0.4742556299482073
F-1,3157,3375,2020-01-01 00:52:37,2020-01-01 00:56:15,3157,3316,0.8671316589627946,0.6591674014659864,0.4742556299482073
F-1,5363,5482,2020-01-01 01:29:23,2020-01-01 01:31:22,5363,5423,0.8608156698090689,0.7954103518844488,0.4742556299482073
F-1,5701,5837,2020-01-01 01:35:01,2020-01-01 01:37:17,5701,5778,0.8500780207770211,0.6053162516800911,0.4742556299482073
F-1,3888,4061,2020-01-01 01:04:48,2020-01-01 01:07:41,3888,4002,0.8388751064028058,0.6364563214482728,0.4742556299482073
F-1,467,626,2020-01-01 00:07:47,2020-01-01 00:10:26,467,567,0.8309114575386046,0.5726423113905895,0.4742556299482073
F-1,4609,4887,2020-01-01 01:16:49,2020-01-01 01:21:27,4609,4828,0.8016996043069021,0.6135002104879972,0.4742556299482073
F-1,2756,2881,2020-01-01 00:45:56,2020-01-01 00:48:01,2756,2822,0.7715386152267456,0.6171708987084531,0.4742556299482073
F-1,8334,8459,2020-01-01 02:18:54,2020-01-01 02:20:59,8334,8400,0.7591321042605808,0.6322413428124588,0.4742556299482073
F-1,6778,6948,2020-01-01 01:52:58,2020-01-01 01:55:48,6778,6889,0.759059258869716,0.5770598706238124,0.4742556299482073
F-1,7470,7597,2020-01-01 02:04:30,2020-01-01 02:06:37,7470,7538,0.7440197127205985,0.6224219220889033,0.4742556299482073
F-1,5985,6169,2020-01-01 01:39:45,2020-01-01 01:42:49,5985,6110,0.7398954204150608,0.6067140121646478,0.4742556299482073
F-1,1200,1318,2020-01-01 00:20:00,2020-01-01 00:21:58,1200,1259,0.7346823726381573,0.6554779154913765,0.4742556299482073
F-1,8458,8556,2020-01-01 02:20:58,2020-01-01 02:22:36,8458,8497,0.73321476152965,0.6576183606471334,0.4742556299482073
F-1,4029,4148,2020-01-01 01:07:09,2020-01-01 01:09:08,4029,4089,0.723866283893585,0.6056427327475447,0.4742556299482073
F-1,8083,8202,2020-01-01 02:14:43,2020-01-01 02:16:42,8083,8143,0.7176249282700674,0.6784310969033343,0.4742556299482073
F-1,1527,1618,2020-01-01 00:25:27,2020-01-01 00:26:58,1527,1559,0.7128724796431405,0.6176494073558163,0.4742556299482073
F-1,4226,4371,2020-01-01 01:10:26,2020-01-01 01:12:51,4226,4312,0.6986524122101919,0.5392779923229187,0.4742556299482073
