win_index,start_idx,end_idx,timestamp_start,timestamp_end,recon_mse,score,y_pred,threshold
0,0,59,2020-01-01 00:00:00,2020-01-01 00:00:59,0.00017226148338522762,0.003733468907220023,0,0.5835754445620945
1,1,60,2020-01-01 00:00:01,2020-01-01 00:01:00,0.00017241980822291225,0.004693166086716311,0,0.5835754445620945
2,2,61,2020-01-01 00:00:02,2020-01-01 00:01:01,0.000178024303750135,0.00567043519445828,0,0.5835754445620945
3,3,62,2020-01-01 00:00:03,2020-01-01 00:01:02,0.00018366691074334085,0.006661416763173683,0,0.5835754445620945
4,4,63,2020-01-01 00:00:04,2020-01-01 00:01:03,0.00018926960183307528,0.006676341739616224,0,0.5835754445620945
5,5,64,2020-01-01 00:00:05,2020-01-01 00:01:04,0.0001938773930305615,0.006788014234708888,0,0.5835754445620945
6,6,65,2020-01-01 00:00:06,2020-01-01 00:01:05,0.00019769150821957737,0.006875920841204268,0,0.5835754445620945
7,7,66,2020-01-01 00:00:07,2020-01-01 00:01:06,0.00020016999042127281,0.006946483493915625,0,0.5835754445620945
8,8,67,2020-01-01 00:00:08,2020-01-01 00:01:07,0.00020132061035837978,0.0069832348131707725,0,0.5835754445620945
9,9,68,2020-01-01 00:00:09,2020-01-01 00:01:08,0.00020131988276261836,0.006985862739384173,0,0.5835754445620945
10,10,69,2020-01-01 00:00:10,2020-01-01 00:01:09,0.00020013931498397142,0.006961047981998749,0,0.5835754445620945
11,11,70,2020-01-01 00:00:11,2020-01-01 00:01:10,0.00019728706683963537,0.006905539892613888,0,0.5835754445620945
12,12,71,2020-01-01 00:00:12,2020-01-01 00:01:11,0.0001935085019795224,0.006815333251974412,0,0.5835754445620945
13,13,72,2020-01-01 00:00:13,2020-01-01 00:01:12,0.00018885683675762266,0.006698984253619398,0,0.5835754445620945
14,14,73,2020-01-01 00:00:14,2020-01-01 00:01:13,0.00018269442080054432,0.00654500297137669,0,0.5835754445620945
15,15,74,2020-01-01 00:00:15,2020-01-01 00:01:14,0.00017563092114869505,0.006357880309224128,0,0.5835754445620945
16,16,75,2020-01-01 00:00:16,2020-01-01 00:01:15,0.0001678335975157097,0.006144737292613302,0,0.5835754445620945
17,17,76,2020-01-01 00:00:17,2020-01-01 00:01:16,0.0001588082523085177,0.005901853420904704,0,0.5835754445620945
18,18,77,2020-01-01 00:00:18,2020-01-01 00:01:17,0.00014911949983797967,0.005633874064577478,0,0.5835754445620945
19,19,78,2020-01-01 00:00:19,2020-01-01 00:01:18,0.00013925017265137285,0.005345028026827743,0,0.5835754445620945
20,20,79,2020-01-01 00:00:20,2020-01-01 00:01:19,0.00012897806300316006,0.005035322625190019,0,0.5835754445620945
