series,win_idx,point_start_idx,point_end_idx,start_time,end_time,score,threshold
F-7,0,0,59,2020-01-01 00:00:00,2020-01-01 00:00:59,0.19542453118732994,0.21560581879956378
F-7,1,1,60,2020-01-01 00:00:01,2020-01-01 00:01:00,0.24397503478186466,0.21560581879956378
F-7,2,2,61,2020-01-01 00:00:02,2020-01-01 00:01:01,0.29251216139112196,0.21560581879956378
F-7,3,3,62,2020-01-01 00:00:03,2020-01-01 00:01:02,0.34107214212417597,0.21560581879956378
F-7,4,4,63,2020-01-01 00:00:04,2020-01-01 00:01:03,0.34037504877362934,0.21560581879956378
F-7,5,5,64,2020-01-01 00:00:05,2020-01-01 00:01:04,0.3399080463818141,0.21560581879956378
F-7,6,6,65,2020-01-01 00:00:06,2020-01-01 00:01:05,0.3398704443659101,0.21560581879956378
F-7,7,7,66,2020-01-01 00:00:07,2020-01-01 00:01:06,0.3398479648998805,0.21560581879956378
F-7,8,8,67,2020-01-01 00:00:08,2020-01-01 00:01:07,0.3397934862545558,0.21560581879956378
F-7,9,9,68,2020-01-01 00:00:09,2020-01-01 00:01:08,0.3397461431367056,0.21560581879956378
F-7,10,10,69,2020-01-01 00:00:10,2020-01-01 00:01:09,0.33963662385940546,0.21560581879956378
F-7,11,11,70,2020-01-01 00:00:11,2020-01-01 00:01:10,0.3394980388028281,0.21560581879956378
F-7,12,12,71,2020-01-01 00:00:12,2020-01-01 00:01:11,0.33925060714994154,0.21560581879956378
F-7,13,13,72,2020-01-01 00:00:13,2020-01-01 00:01:12,0.3389738159520286,0.21560581879956378
F-7,14,14,73,2020-01-01 00:00:14,2020-01-01 00:01:13,0.34881080048424856,0.21560581879956378
F-7,15,15,74,2020-01-01 00:00:15,2020-01-01 00:01:14,0.3647121105875287,0.21560581879956378
F-7,16,16,75,2020-01-01 00:00:16,2020-01-01 00:01:15,0.384414119379861,0.21560581879956378
F-7,17,17,76,2020-01-01 00:00:17,2020-01-01 00:01:16,0.4086983203887939,0.21560581879956378
F-7,18,18,77,2020-01-01 00:00:18,2020-01-01 00:01:17,0.43847816331045963,0.21560581879956378
F-7,19,19,78,2020-01-01 00:00:19,2020-01-01 00:01:18,0.47878024407795494,0.21560581879956378
F-7,20,20,79,2020-01-01 00:00:20,2020-01-01 00:01:19,0.5213448362691062,0.21560581879956378
F-7,21,21,80,2020-01-01 00:00:21,2020-01-01 00:01:20,0.5567037207739693,0.21560581879956378
F-7,22,22,81,2020-01-01 00:00:22,2020-01-01 00:01:21,0.5855213403701782,0.21560581879956378
F-7,23,23,82,2020-01-01 00:00:23,2020-01-01 00:01:22,0.6098273481641496,0.21560581879956378
F-7,24,24,83,2020-01-01 00:00:24,2020-01-01 00:01:23,0.6350322195461818,0.21560581879956378
F-7,25,25,84,2020-01-01 00:00:25,2020-01-01 00:01:24,0.6558643749782017,0.21560581879956378
F-7,26,26,85,2020-01-01 00:00:26,2020-01-01 00:01:25,0.664968763078962,0.21560581879956378
F-7,27,27,86,2020-01-01 00:00:27,2020-01-01 00:01:26,0.6713970048086983,0.21560581879956378
F-7,28,28,87,2020-01-01 00:00:28,2020-01-01 00:01:27,0.6744975617953709,0.21560581879956378
F-7,29,29,88,2020-01-01 00:00:29,2020-01-01 00:01:28,0.6733388475009373,0.21560581879956378
F-7,30,30,89,2020-01-01 00:00:30,2020-01-01 00:01:29,0.6714613437652588,0.21560581879956378
F-7,31,31,90,2020-01-01 00:00:31,2020-01-01 00:01:30,0.6637249759265355,0.21560581879956378
F-7,32,32,91,2020-01-01 00:00:32,2020-01-01 00:01:31,0.6544018558093478,0.21560581879956378
F-7,33,33,92,2020-01-01 00:00:33,2020-01-01 00:01:32,0.6461596914700098,0.21560581879956378
F-7,34,34,93,2020-01-01 00:00:34,2020-01-01 00:01:33,0.6383433086531503,0.21560581879956378
F-7,35,35,94,2020-01-01 00:00:35,2020-01-01 00:01:34,0.6308426175798688,0.21560581879956378
F-7,36,36,95,2020-01-01 00:00:36,2020-01-01 00:01:35,0.627967391695295,0.21560581879956378
F-7,37,37,96,2020-01-01 00:00:37,2020-01-01 00:01:36,0.6264884982790265,0.21560581879956378
F-7,38,38,97,2020-01-01 00:00:38,2020-01-01 00:01:37,0.6254377194813319,0.21560581879956378
F-7,39,39,98,2020-01-01 00:00:39,2020-01-01 00:01:38,0.6248409577778408,0.21560581879956378
F-7,40,40,99,2020-01-01 00:00:40,2020-01-01 00:01:39,0.6243953704833983,0.21560581879956378
F-7,41,41,100,2020-01-01 00:00:41,2020-01-01 00:01:40,0.6239826338631765,0.21560581879956378
F-7,42,42,101,2020-01-01 00:00:42,2020-01-01 00:01:41,0.6235740525381905,0.21560581879956378
F-7,43,43,102,2020-01-01 00:00:43,2020-01-01 00:01:42,0.6232315301895142,0.21560581879956378
