series,start_idx,end_idx,start_time,end_time,win_start,win_end,score_max,score_mean,threshold
G-1,8171,8279,2020-01-01 02:16:11,2020-01-01 02:17:59,8171,8220,0.8547314235142299,0.7126664616380418,0.5194864017622811
G-1,8361,8466,2020-01-01 02:19:21,2020-01-01 02:21:06,8361,8407,0.8408130918230329,0.7201161161744485,0.5194864017622811
G-1,7690,7800,2020-01-01 02:08:10,2020-01-01 02:10:00,7690,7741,0.8025482382093156,0.6830622959922957,0.5194864017622811
G-1,7888,7997,2020-01-01 02:11:28,2020-01-01 02:13:17,7888,7938,0.7974508830479212,0.669822461297866,0.5194864017622811
G-1,7979,8089,2020-01-01 02:12:59,2020-01-01 02:14:49,7979,8030,0.7882276603153773,0.6757360648486639,0.5194864017622811
G-1,7791,7895,2020-01-01 02:09:51,2020-01-01 02:11:35,7791,7836,0.7862491437367031,0.6744877731207735,0.5194864017622811
G-1,8083,8183,2020-01-01 02:14:43,2020-01-01 02:16:23,8083,8124,0.7796331303460257,0.6793234429391874,0.5194864017622811
G-1,7606,7707,2020-01-01 02:06:46,2020-01-01 02:08:27,7606,7648,0.7793524094990322,0.6656664160398946,0.5194864017622811
G-1,8269,8377,2020-01-01 02:17:49,2020-01-01 02:19:37,8269,8318,0.7748252919742039,0.6680759794371468,0.5194864017622811
G-1,7403,7517,2020-01-01 02:03:23,2020-01-01 02:05:17,7403,7458,0.7598739010947091,0.651849951366989,0.5194864017622811
G-1,7514,7609,2020-01-01 02:05:14,2020-01-01 02:06:49,7514,7550,0.7525112118039812,0.6606132892107872,0.5194864017622811
G-1,3734,3863,2020-01-01 01:02:14,2020-01-01 01:04:23,3734,3804,0.7492525747844151,0.6125886935583302,0.5194864017622811
G-1,3938,4055,2020-01-01 01:05:38,2020-01-01 01:07:35,3938,3996,0.7320137790271213,0.6068666973500794,0.5194864017622811
G-1,3841,3958,2020-01-01 01:04:01,2020-01-01 01:05:58,3841,3899,0.7267847657203674,0.6105522993979097,0.5194864017622811
G-1,4611,4737,2020-01-01 01:16:51,2020-01-01 01:18:57,4611,4678,0.7171186038425988,0.610629715839354,0.5194864017622811
G-1,4420,4538,2020-01-01 01:13:40,2020-01-01 01:15:38,4420,4479,0.7146176099777222,0.6201941706594968,0.5194864017622811
G-1,3648,3766,2020-01-01 01:00:48,2020-01-01 01:02:46,3648,3707,0.7113747767039706,0.6080954079117095,0.5194864017622811
G-1,7326,7415,2020-01-01 02:02:06,2020-01-01 02:03:35,7326,7356,0.7014326623507908,0.6396527235409083,0.5194864017622811
G-1,3459,3574,2020-01-01 00:57:39,2020-01-01 00:59:34,3459,3515,0.6939878208296639,0.6191013129731467,0.5194864017622811
G-1,2600,2713,2020-01-01 00:43:20,2020-01-01 00:45:13,2600,2654,0.6865007111004421,0.6133042591732818,0.5194864017622811
G-1,4225,4342,2020-01-01 01:10:25,2020-01-01 01:12:22,4225,4283,0.6827787671770368,0.5794325921928046,0.5194864017622811
G-1,3076,3190,2020-01-01 00:51:16,2020-01-01 00:53:10,3076,3131,0.678719971861158,0.6276010805550886,0.5194864017622811
G-1,4519,4641,2020-01-01 01:15:19,2020-01-01 01:17:21,4519,4582,0.6776926262038094,0.6175617807810859,0.5194864017622811
G-1,5175,5300,2020-01-01 01:26:15,2020-01-01 01:28:20,5175,5241,0.6615317123276846,0.5816709526312123,0.5194864017622811
G-1,4885,5000,2020-01-01 01:21:25,2020-01-01 01:23:20,4885,4941,0.6601991312844412,0.5914986436080215,0.5194864017622811
G-1,5080,5157,2020-01-01 01:24:40,2020-01-01 01:25:57,5080,5098,0.659958677632468,0.6041948721372992,0.5194864017622811
G-1,1818,2033,2020-01-01 00:30:18,2020-01-01 00:33:53,1818,1974,0.6501463907105581,0.5726667561511541,0.5194864017622811
G-1,1155,1262,2020-01-01 00:19:15,2020-01-01 00:21:02,1155,1203,0.6488424795014517,0.6005553394642932,0.5194864017622811
G-1,943,1063,2020-01-01 00:15:43,2020-01-01 00:17:43,943,1004,0.6467341610363551,0.6157522988484202,0.5194864017622811
G-1,3367,3457,2020-01-01 00:56:07,2020-01-01 00:57:37,3367,3398,0.6452214462416512,0.5695588680516396,0.5194864017622811
G-1,2,102,2020-01-01 00:00:02,2020-01-01 00:01:42,2,43,0.6450035231454031,0.5827811685751895,0.5194864017622811
G-1,2712,2853,2020-01-01 00:45:12,2020-01-01 00:47:33,2712,2794,0.6421820776803153,0.5769302316664007,0.5194864017622811
G-1,3268,3361,2020-01-01 00:54:28,2020-01-01 00:56:01,3268,3302,0.6345072814396449,0.5634498953819274,0.5194864017622811
G-1,1543,1655,2020-01-01 00:25:43,2020-01-01 00:27:35,1543,1596,0.6342877064432416,0.5956068592412131,0.5194864017622811
G-1,3554,3631,2020-01-01 00:59:14,2020-01-01 01:00:31,3554,3572,0.6303007432392664,0.5802166112383504,0.5194864017622811
G-1,667,768,2020-01-01 00:11:07,2020-01-01 00:12:48,667,709,0.6279060755457196,0.5819402964804259,0.5194864017622811
G-1,3178,3283,2020-01-01 00:52:58,2020-01-01 00:54:43,3178,3224,0.6276576263563973,0.5717124370093765,0.5194864017622811
G-1,3578,3669,2020-01-01 00:59:38,2020-01-01 01:01:09,3578,3610,0.6246647494179862,0.5942616026638905,0.5194864017622811
G-1,5652,5739,2020-01-01 01:34:12,2020-01-01 01:35:39,5652,5680,0.6221848385674612,0.5790828551564897,0.5194864017622811
G-1,4712,4789,2020-01-01 01:18:32,2020-01-01 01:19:49,4712,4730,0.6202588421957833,0.5809416546857445,0.5194864017622811
G-1,6525,6604,2020-01-01 01:48:45,2020-01-01 01:50:04,6525,6545,0.618350999695914,0.5756461596002383,0.5194864017622811
G-1,463,580,2020-01-01 00:07:43,2020-01-01 00:09:40,463,521,0.6160827875137329,0.5875392474649028,0.5194864017622811
G-1,6718,6794,2020-01-01 01:51:58,2020-01-01 01:53:14,6718,6735,0.61570234809603,0.5784782937594823,0.5194864017622811
G-1,846,969,2020-01-01 00:14:06,2020-01-01 00:16:09,846,910,0.6118852155549186,0.5896387822025425,0.5194864017622811
G-1,5943,6021,2020-01-01 01:39:03,2020-01-01 01:40:21,5943,5962,0.606840533869607,0.5762742549180984,0.5194864017622811
G-1,1650,1769,2020-01-01 00:27:30,2020-01-01 00:29:29,1650,1710,0.6028807418687002,0.5649138626225938,0.5194864017622811
G-1,4134,4205,2020-01-01 01:08:54,2020-01-01 01:10:05,4134,4146,0.6013040031705583,0.57252593092866,0.5194864017622811
G-1,766,893,2020-01-01 00:12:46,2020-01-01 00:14:53,766,834,0.5966928601264954,0.5618993872564524,0.5194864017622811
G-1,7232,7309,2020-01-01 02:00:32,2020-01-01 02:01:49,7232,7250,0.5961389201028006,0.5666559755353999,0.5194864017622811
G-1,4034,4106,2020-01-01 01:07:14,2020-01-01 01:08:26,4034,4047,0.5941768629210336,0.5667335883695251,0.5194864017622811
G-1,6141,6214,2020-01-01 01:42:21,2020-01-01 01:43:34,6141,6155,0.5932519350733075,0.5616982122262318,0.5194864017622811
G-1,166,288,2020-01-01 00:02:46,2020-01-01 00:04:48,166,229,0.5925921968051365,0.5567402342068297,0.5194864017622811
G-1,4838,4923,2020-01-01 01:20:38,2020-01-01 01:22:03,4838,4864,0.592188630785261,0.5530054134035867,0.5194864017622811
G-1,1064,1162,2020-01-01 00:17:44,2020-01-01 00:19:22,1064,1103,0.5839813266481672,0.5586625279060431,0.5194864017622811
