series,win_idx,point_start_idx,point_end_idx,start_time,end_time,score,threshold
G-7,450,450,509,2020-01-01 00:07:30,2020-01-01 00:08:29,0.18388520287615912,0.20180710085800713
G-7,451,451,510,2020-01-01 00:07:31,2020-01-01 00:08:30,0.20346115529537198,0.20180710085800713
G-7,452,452,511,2020-01-01 00:07:32,2020-01-01 00:08:31,0.21734050129141125,0.20180710085800713
G-7,453,453,512,2020-01-01 00:07:33,2020-01-01 00:08:32,0.22181847478662217,0.20180710085800713
G-7,454,454,513,2020-01-01 00:07:34,2020-01-01 00:08:33,0.22280092111655644,0.20180710085800713
G-7,455,455,514,2020-01-01 00:07:35,2020-01-01 00:08:34,0.22293092949049811,0.20180710085800713
G-7,456,456,515,2020-01-01 00:07:36,2020-01-01 00:08:35,0.22223705479076927,0.20180710085800713
G-7,457,457,516,2020-01-01 00:07:37,2020-01-01 00:08:36,0.2209244519472122,0.20180710085800713
G-7,458,458,517,2020-01-01 00:07:38,2020-01-01 00:08:37,0.21909667338643754,0.20180710085800713
G-7,459,459,518,2020-01-01 00:07:39,2020-01-01 00:08:38,0.21705627654279977,0.20180710085800713
G-7,460,460,519,2020-01-01 00:07:40,2020-01-01 00:08:39,0.2149468298469271,0.20180710085800713
G-7,461,461,520,2020-01-01 00:07:41,2020-01-01 00:08:40,0.21295325245176042,0.20180710085800713
G-7,462,462,521,2020-01-01 00:07:42,2020-01-01 00:08:41,0.21116792517048968,0.20180710085800713
G-7,463,463,522,2020-01-01 00:07:43,2020-01-01 00:08:42,0.20979198600564686,0.20180710085800713
G-7,464,464,523,2020-01-01 00:07:44,2020-01-01 00:08:43,0.208768829703331,0.20180710085800713
G-7,465,465,524,2020-01-01 00:07:45,2020-01-01 00:08:44,0.20815479116780417,0.20180710085800713
G-7,466,466,525,2020-01-01 00:07:46,2020-01-01 00:08:45,0.20784541751657212,0.20180710085800713
G-7,467,467,526,2020-01-01 00:07:47,2020-01-01 00:08:46,0.20780317911079949,0.20180710085800713
G-7,468,468,527,2020-01-01 00:07:48,2020-01-01 00:08:47,0.2079111529248101,0.20180710085800713
G-7,469,469,528,2020-01-01 00:07:49,2020-01-01 00:08:48,0.20815845259598323,0.20180710085800713
G-7,470,470,529,2020-01-01 00:07:50,2020-01-01 00:08:49,0.2084066697529384,0.20180710085800713
G-7,471,471,530,2020-01-01 00:07:51,2020-01-01 00:08:50,0.20864566309111457,0.20180710085800713
G-7,472,472,531,2020-01-01 00:07:52,2020-01-01 00:08:51,0.20890155221734727,0.20180710085800713
G-7,473,473,532,2020-01-01 00:07:53,2020-01-01 00:08:52,0.20918311391557964,0.20180710085800713
G-7,474,474,533,2020-01-01 00:07:54,2020-01-01 00:08:53,0.20953311238970074,0.20180710085800713
G-7,475,475,534,2020-01-01 00:07:55,2020-01-01 00:08:54,0.2106723593814032,0.20180710085800713
G-7,476,476,535,2020-01-01 00:07:56,2020-01-01 00:08:55,0.21206345728465487,0.20180710085800713
G-7,477,477,536,2020-01-01 00:07:57,2020-01-01 00:08:56,0.21376329447541914,0.20180710085800713
G-7,478,478,537,2020-01-01 00:07:58,2020-01-01 00:08:57,0.21570792368480138,0.20180710085800713
G-7,479,479,538,2020-01-01 00:07:59,2020-01-01 00:08:58,0.21778690814971918,0.20180710085800713
G-7,480,480,539,2020-01-01 00:08:00,2020-01-01 00:08:59,0.2199138445513589,0.20180710085800713
G-7,481,481,540,2020-01-01 00:08:01,2020-01-01 00:09:00,0.22199899809701099,0.20180710085800713
G-7,482,482,541,2020-01-01 00:08:02,2020-01-01 00:09:01,0.223344440971102,0.20180710085800713
G-7,483,483,542,2020-01-01 00:08:03,2020-01-01 00:09:02,0.22447590104171206,0.20180710085800713
