series,win_idx,point_start_idx,point_end_idx,start_time,end_time,score,threshold
M-6,2,2,61,2020-01-01 00:00:02,2020-01-01 00:01:01,7.468376484861698e-07,7.963401458255248e-07
M-6,3,3,62,2020-01-01 00:00:03,2020-01-01 00:01:02,8.713105899005311e-07,7.963401458255248e-07
M-6,4,4,63,2020-01-01 00:00:04,2020-01-01 00:01:03,8.713105899005311e-07,7.963401458255248e-07
M-6,5,5,64,2020-01-01 00:00:05,2020-01-01 00:01:04,8.713105899005311e-07,7.963401458255248e-07
M-6,6,6,65,2020-01-01 00:00:06,2020-01-01 00:01:05,8.713105899005311e-07,7.963401458255248e-07
M-6,7,7,66,2020-01-01 00:00:07,2020-01-01 00:01:06,8.713105899005311e-07,7.963401458255248e-07
M-6,8,8,67,2020-01-01 00:00:08,2020-01-01 00:01:07,8.713105899005311e-07,7.963401458255248e-07
M-6,9,9,68,2020-01-01 00:00:09,2020-01-01 00:01:08,8.713105899005311e-07,7.963401458255248e-07
M-6,10,10,69,2020-01-01 00:00:10,2020-01-01 00:01:09,8.713105899005311e-07,7.963401458255248e-07
M-6,11,11,70,2020-01-01 00:00:11,2020-01-01 00:01:10,8.713105899005311e-07,7.963401458255248e-07
M-6,12,12,71,2020-01-01 00:00:12,2020-01-01 00:01:11,8.713105899005311e-07,7.963401458255248e-07
M-6,13,13,72,2020-01-01 00:00:13,2020-01-01 00:01:12,8.713105899005311e-07,7.963401458255248e-07
M-6,14,14,73,2020-01-01 00:00:14,2020-01-01 00:01:13,8.713105899005311e-07,7.963401458255248e-07
M-6,15,15,74,2020-01-01 00:00:15,2020-01-01 00:01:14,8.713105899005311e-07,7.963401458255248e-07
M-6,16,16,75,2020-01-01 00:00:16,2020-01-01 00:01:15,8.713105899005311e-07,7.963401458255248e-07
M-6,17,17,76,2020-01-01 00:00:17,2020-01-01 00:01:16,8.713105899005311e-07,7.963401458255248e-07
M-6,18,18,77,2020-01-01 00:00:18,2020-01-01 00:01:17,8.713105899005311e-07,7.963401458255248e-07
M-6,19,19,78,2020-01-01 00:00:19,2020-01-01 00:01:18,8.713105899005311e-07,7.963401458255248e-07
M-6,20,20,79,2020-01-01 00:00:20,2020-01-01 00:01:19,8.713105899005311e-07,7.963401458255248e-07
M-6,21,21,80,2020-01-01 00:00:21,2020-01-01 00:01:20,8.713105899005311e-07,7.963401458255248e-07
M-6,22,22,81,2020-01-01 00:00:22,2020-01-01 00:01:21,8.713105899005311e-07,7.963401458255248e-07
M-6,23,23,82,2020-01-01 00:00:23,2020-01-01 00:01:22,8.713105899005311e-07,7.963401458255248e-07
M-6,24,24,83,2020-01-01 00:00:24,2020-01-01 00:01:23,8.713105899005311e-07,7.963401458255248e-07
M-6,25,25,84,2020-01-01 00:00:25,2020-01-01 00:01:24,8.713105899005311e-07,7.963401458255248e-07
M-6,26,26,85,2020-01-01 00:00:26,2020-01-01 00:01:25,8.713105899005311e-07,7.963401458255248e-07
M-6,27,27,86,2020-01-01 00:00:27,2020-01-01 00:01:26,8.713105899005311e-07,7.963401458255248e-07
M-6,28,28,87,2020-01-01 00:00:28,2020-01-01 00:01:27,8.713105899005311e-07,7.963401458255248e-07
M-6,29,29,88,2020-01-01 00:00:29,2020-01-01 00:01:28,8.713105899005311e-07,7.963401458255248e-07
M-6,30,30,89,2020-01-01 00:00:30,2020-01-01 00:01:29,8.713105899005311e-07,7.963401458255248e-07
M-6,31,31,90,2020-01-01 00:00:31,2020-01-01 00:01:30,8.713105899005311e-07,7.963401458255248e-07
M-6,32,32,91,2020-01-01 00:00:32,2020-01-01 00:01:31,8.713105899005311e-07,7.963401458255248e-07
M-6,33,33,92,2020-01-01 00:00:33,2020-01-01 00:01:32,8.713105899005311e-07,7.963401458255248e-07
M-6,34,34,93,2020-01-01 00:00:34,2020-01-01 00:01:33,8.713105899005311e-07,7.963401458255248e-07
M-6,35,35,94,2020-01-01 00:00:35,2020-01-01 00:01:34,8.713105899005311e-07,7.963401458255248e-07
M-6,36,36,95,2020-01-01 00:00:36,2020-01-01 00:01:35,8.713105899005311e-07,7.963401458255248e-07
M-6,37,37,96,2020-01-01 00:00:37,2020-01-01 00:01:36,8.713105899005311e-07,7.963401458255248e-07
M-6,38,38,97,2020-01-01 00:00:38,2020-01-01 00:01:37,8.713105899005311e-07,7.963401458255248e-07
M-6,39,39,98,2020-01-01 00:00:39,2020-01-01 00:01:38,8.713105899005311e-07,7.963401458255248e-07
M-6,40,40,99,2020-01-01 00:00:40,2020-01-01 00:01:39,8.713105899005311e-07,7.963401458255248e-07
M-6,41,41,100,2020-01-01 00:00:41,2020-01-01 00:01:40,8.713105899005311e-07,7.963401458255248e-07
M-6,42,42,101,2020-01-01 00:00:42,2020-01-01 00:01:41,8.713105899005311e-07,7.963401458255248e-07
M-6,43,43,102,2020-01-01 00:00:43,2020-01-01 00:01:42,8.713105899005311e-07,7.963401458255248e-07
M-6,44,44,103,2020-01-01 00:00:44,2020-01-01 00:01:43,8.713105899005311e-07,7.963401458255248e-07
M-6,45,45,104,2020-01-01 00:00:45,2020-01-01 00:01:44,8.713105899005311e-07,7.963401458255248e-07
M-6,46,46,105,2020-01-01 00:00:46,2020-01-01 00:01:45,8.713105899005311e-07,7.963401458255248e-07
M-6,47,47,106,2020-01-01 00:00:47,2020-01-01 00:01:46,8.713105899005311e-07,7.963401458255248e-07
M-6,48,48,107,2020-01-01 00:00:48,2020-01-01 00:01:47,8.713105899005311e-07,7.963401458255248e-07
M-6,49,49,108,2020-01-01 00:00:49,2020-01-01 00:01:48,8.713105899005311e-07,7.963401458255248e-07
M-6,50,50,109,2020-01-01 00:00:50,2020-01-01 00:01:49,8.713105899005311e-07,7.963401458255248e-07
M-6,51,51,110,2020-01-01 00:00:51,2020-01-01 00:01:50,8.713105899005311e-07,7.963401458255248e-07
M-6,52,52,111,2020-01-01 00:00:52,2020-01-01 00:01:51,8.713105899005311e-07,7.963401458255248e-07
M-6,53,53,112,2020-01-01 00:00:53,2020-01-01 00:01:52,8.713105899005311e-07,7.963401458255248e-07
M-6,54,54,113,2020-01-01 00:00:54,2020-01-01 00:01:53,8.713105899005311e-07,7.963401458255248e-07
M-6,55,55,114,2020-01-01 00:00:55,2020-01-01 00:01:54,8.713105899005311e-07,7.963401458255248e-07
M-6,56,56,115,2020-01-01 00:00:56,2020-01-01 00:01:55,8.713105899005311e-07,7.963401458255248e-07
M-6,57,57,116,2020-01-01 00:00:57,2020-01-01 00:01:56,8.713105899005311e-07,7.963401458255248e-07
M-6,58,58,117,2020-01-01 00:00:58,2020-01-01 00:01:57,8.713105899005311e-07,7.963401458255248e-07
M-6,59,59,118,2020-01-01 00:00:59,2020-01-01 00:01:58,8.713105899005311e-07,7.963401458255248e-07
M-6,60,60,119,2020-01-01 00:01:00,2020-01-01 00:01:59,8.713105899005311e-07,7.963401458255248e-07
M-6,61,61,120,2020-01-01 00:01:01,2020-01-01 00:02:00,8.713105899005311e-07,7.963401458255248e-07
M-6,62,62,121,2020-01-01 00:01:02,2020-01-01 00:02:01,8.713105899005311e-07,7.963401458255248e-07
M-6,63,63,122,2020-01-01 00:01:03,2020-01-01 00:02:02,8.713105899005311e-07,7.963401458255248e-07
M-6,64,64,123,2020-01-01 00:01:04,2020-01-01 00:02:03,8.713105899005311e-07,7.963401458255248e-07
M-6,65,65,124,2020-01-01 00:01:05,2020-01-01 00:02:04,8.713105899005311e-07,7.963401458255248e-07
M-6,66,66,125,2020-01-01 00:01:06,2020-01-01 00:02:05,8.713105899005311e-07,7.963401458255248e-07
M-6,67,67,126,2020-01-01 00:01:07,2020-01-01 00:02:06,8.713105899005311e-07,7.963401458255248e-07
M-6,68,68,127,2020-01-01 00:01:08,2020-01-01 00:02:07,8.713105899005311e-07,7.963401458255248e-07
M-6,69,69,128,2020-01-01 00:01:09,2020-01-01 00:02:08,8.713105899005311e-07,7.963401458255248e-07
M-6,70,70,129,2020-01-01 00:01:10,2020-01-01 00:02:09,8.713105899005311e-07,7.963401458255248e-07
M-6,71,71,130,2020-01-01 00:01:11,2020-01-01 00:02:10,8.713105899005311e-07,7.963401458255248e-07
