series,start_idx,end_idx,start_time,end_time,win_start,win_end,score_max,score_mean,threshold
P-3,5677,6750,2020-01-01 01:34:37,2020-01-01 01:52:30,5677,6691,0.9791042719568523,0.5227005349908743,0.0006825619493611157
P-3,5139,5691,2020-01-01 01:25:39,2020-01-01 01:34:51,5139,5632,0.6314157502991813,0.16940722522668727,0.0006825619493611157
P-3,7568,7738,2020-01-01 02:06:08,2020-01-01 02:08:58,7568,7679,0.0047269645147025585,0.0025467638274769377,0.0006825619493611157
P-3,88,449,2020-01-01 00:01:28,2020-01-01 00:07:29,88,390,0.0036767672281712294,0.0017531661274818766,0.0006825619493611157
P-3,1624,1820,2020-01-01 00:27:04,2020-01-01 00:30:20,1624,1761,0.0035685080635760513,0.0021531862128062237,0.0006825619493611157
P-3,1243,1577,2020-01-01 00:20:43,2020-01-01 00:26:17,1243,1518,0.003455315317426409,0.001723561723300547,0.0006825619493611157
P-3,1143,1278,2020-01-01 00:19:03,2020-01-01 00:21:18,1143,1219,0.0031456471686916693,0.0023285243742825405,0.0006825619493611157
P-3,2063,2887,2020-01-01 00:34:23,2020-01-01 00:48:07,2063,2828,0.003010248831872429,0.0014371234371572804,0.0006825619493611157
P-3,6702,6862,2020-01-01 01:51:42,2020-01-01 01:54:22,6702,6803,0.0029533859009721443,0.0016956403371336654,0.0006825619493611157
P-3,3932,4401,2020-01-01 01:05:32,2020-01-01 01:13:21,3932,4342,0.00291051363040294,0.0015753896326999456,0.0006825619493611157
P-3,1810,2113,2020-01-01 00:30:10,2020-01-01 00:35:13,1810,2054,0.0028149555437266827,0.001823126076878138,0.0006825619493611157
P-3,6807,6972,2020-01-01 01:53:27,2020-01-01 01:56:12,6807,6913,0.002778451923014862,0.0016280318917650655,0.0006825619493611157
P-3,8092,8492,2020-01-01 02:14:52,2020-01-01 02:21:32,8092,8433,0.002666725477735911,0.0015245380541459486,0.0006825619493611157
P-3,7305,7581,2020-01-01 02:01:45,2020-01-01 02:06:21,7305,7522,0.0026158577363405906,0.001642359199078978,0.0006825619493611157
P-3,3161,3949,2020-01-01 00:52:41,2020-01-01 01:05:49,3161,3890,0.002605532395786473,0.0014182952310800654,0.0006825619493611157
P-3,7801,8030,2020-01-01 02:10:01,2020-01-01 02:13:50,7801,7971,0.002567832890365805,0.001333463292359044,0.0006825619493611157
P-3,552,934,2020-01-01 00:09:12,2020-01-01 00:15:34,552,875,0.0025427071377635,0.0015424760085726863,0.0006825619493611157
P-3,888,1197,2020-01-01 00:14:48,2020-01-01 00:19:57,888,1138,0.0024637271583612475,0.001681639930825971,0.0006825619493611157
P-3,4658,4847,2020-01-01 01:17:38,2020-01-01 01:20:47,4658,4788,0.002422703596364174,0.0015036241724455449,0.0006825619493611157
P-3,1533,1680,2020-01-01 00:25:33,2020-01-01 00:28:00,1533,1621,0.0024143730157188004,0.001645739859154666,0.0006825619493611157
P-3,4995,5193,2020-01-01 01:23:15,2020-01-01 01:26:33,4995,5134,0.0023926268331706524,0.0014573509611274893,0.0006825619493611157
P-3,4349,4700,2020-01-01 01:12:29,2020-01-01 01:18:20,4349,4641,0.0023509023844131395,0.00148575913037529,0.0006825619493611157
P-3,6925,7344,2020-01-01 01:55:25,2020-01-01 02:02:24,6925,7285,0.0023316758950906137,0.001439989946008084,0.0006825619493611157
P-3,402,603,2020-01-01 00:06:42,2020-01-01 00:10:03,402,544,0.0023264619189181496,0.0015732331645289357,0.0006825619493611157
P-3,2836,3176,2020-01-01 00:47:16,2020-01-01 00:52:56,2836,3117,0.002299003935019885,0.0013052097239176315,0.0006825619493611157
P-3,7988,8148,2020-01-01 02:13:08,2020-01-01 02:15:48,7988,8089,0.0022170056389378646,0.0015489564527345285,0.0006825619493611157
P-3,4830,5038,2020-01-01 01:20:30,2020-01-01 01:23:58,4830,4979,0.0021610472883496967,0.0014798521765485584,0.0006825619493611157
P-3,7705,7857,2020-01-01 02:08:25,2020-01-01 02:10:57,7705,7798,0.0019146653357893229,0.001443445333810438,0.0006825619493611157
P-3,3,103,2020-01-01 00:00:03,2020-01-01 00:01:43,3,44,0.0016872920428535765,0.0010982027188653038,0.0006825619493611157
P-3,3905,3984,2020-01-01 01:05:05,2020-01-01 01:06:24,3905,3925,0.0012344405321138246,0.000987514939799043,0.0006825619493611157
P-3,7534,7612,2020-01-01 02:05:34,2020-01-01 02:06:52,7534,7553,0.001198269160730498,0.0009748277711748544,0.0006825619493611157
P-3,5639,5722,2020-01-01 01:33:59,2020-01-01 01:35:22,5639,5663,0.0011747657554224133,0.0009207969320206237,0.0006825619493611157
P-3,3133,3213,2020-01-01 00:52:13,2020-01-01 00:53:33,3133,3154,0.0011553399298073988,0.0009363516356324317,0.0006825619493611157
P-3,1782,1857,2020-01-01 00:29:42,2020-01-01 00:30:57,1782,1798,0.0010841241871405924,0.0009255143965422293,0.0006825619493611157
P-3,4796,4884,2020-01-01 01:19:56,2020-01-01 01:21:24,4796,4825,0.0010742225983579243,0.0008946673273818478,0.0006825619493611157
P-3,61,135,2020-01-01 00:01:01,2020-01-01 00:02:15,61,76,0.001016867546630757,0.0008779404763897347,0.0006825619493611157
P-3,7295,7360,2020-01-01 02:01:35,2020-01-01 02:02:40,7295,7301,0.0007446496165357529,0.0007253807769822222,0.0006825619493611157
