win_index,start_idx,end_idx,timestamp_start,timestamp_end,recon_mse,score,y_pred,threshold
0,0,59,2020-01-01 00:00:00,2020-01-01 00:00:59,0.0003174848388880491,0.09464201544012342,1,0.005614136345684528
1,1,60,2020-01-01 00:00:01,2020-01-01 00:01:00,0.00030312046874314547,0.11615036427974701,1,0.005614136345684528
2,2,61,2020-01-01 00:00:02,2020-01-01 00:01:01,0.0002868340816348791,0.1373722404241562,1,0.005614136345684528
3,3,62,2020-01-01 00:00:03,2020-01-01 00:01:02,0.0002712021814659238,0.15864418021270207,1,0.005614136345684528
4,4,63,2020-01-01 00:00:04,2020-01-01 00:01:03,0.00026160842389799654,0.15498179835932596,1,0.005614136345684528
5,5,64,2020-01-01 00:00:05,2020-01-01 00:01:04,0.0002559591084718704,0.1518326529434749,1,0.005614136345684528
6,6,65,2020-01-01 00:00:06,2020-01-01 00:01:05,0.0002544857852626592,0.14978336010660445,1,0.005614136345684528
7,7,66,2020-01-01 00:00:07,2020-01-01 00:01:06,0.00025286799063906074,0.14919995197228025,1,0.005614136345684528
8,8,67,2020-01-01 00:00:08,2020-01-01 00:01:07,0.0002511976636014879,0.1490032481295722,1,0.005614136345684528
9,9,68,2020-01-01 00:00:09,2020-01-01 00:01:08,0.0002514959196560085,0.1491641253232956,1,0.005614136345684528
10,10,69,2020-01-01 00:00:10,2020-01-01 00:01:09,0.0002528248878661543,0.149310901761055,1,0.005614136345684528
11,11,70,2020-01-01 00:00:11,2020-01-01 00:01:10,0.00025223824195563793,0.14949152299336024,1,0.005614136345684528
12,12,71,2020-01-01 00:00:12,2020-01-01 00:01:11,0.00025436776923015714,0.14981299000126974,1,0.005614136345684528
13,13,72,2020-01-01 00:00:13,2020-01-01 00:01:12,0.00025769369676709175,0.14982743774141583,1,0.005614136345684528
14,14,73,2020-01-01 00:00:14,2020-01-01 00:01:13,0.0002604162727948278,0.14951978198119573,1,0.005614136345684528
15,15,74,2020-01-01 00:00:15,2020-01-01 00:01:14,0.0002640004095155746,0.14919149449893407,1,0.005614136345684528
16,16,75,2020-01-01 00:00:16,2020-01-01 00:01:15,0.0002643598127178848,0.1495372908455985,1,0.005614136345684528
17,17,76,2020-01-01 00:00:17,2020-01-01 00:01:16,0.00026594148948788643,0.1501568704843521,1,0.005614136345684528
18,18,77,2020-01-01 00:00:18,2020-01-01 00:01:17,0.00026671617524698377,0.15048288234642573,1,0.005614136345684528
19,19,78,2020-01-01 00:00:19,2020-01-01 00:01:18,0.00027671808493323624,0.15054913290909355,1,0.005614136345684528
20,20,79,2020-01-01 00:00:20,2020-01-01 00:01:19,0.0002783973468467593,0.15066636460168017,1,0.005614136345684528
