series,win_idx,point_start_idx,point_end_idx,start_time,end_time,score,threshold
P-7,0,0,59,2020-01-01 00:00:00,2020-01-01 00:00:59,0.09464201544012342,0.005614136345684528
P-7,1,1,60,2020-01-01 00:00:01,2020-01-01 00:01:00,0.11615036427974701,0.005614136345684528
P-7,2,2,61,2020-01-01 00:00:02,2020-01-01 00:01:01,0.1373722404241562,0.005614136345684528
P-7,3,3,62,2020-01-01 00:00:03,2020-01-01 00:01:02,0.15864418021270207,0.005614136345684528
P-7,4,4,63,2020-01-01 00:00:04,2020-01-01 00:01:03,0.15498179835932596,0.005614136345684528
P-7,5,5,64,2020-01-01 00:00:05,2020-01-01 00:01:04,0.1518326529434749,0.005614136345684528
P-7,6,6,65,2020-01-01 00:00:06,2020-01-01 00:01:05,0.14978336010660445,0.005614136345684528
P-7,7,7,66,2020-01-01 00:00:07,2020-01-01 00:01:06,0.14919995197228025,0.005614136345684528
P-7,8,8,67,2020-01-01 00:00:08,2020-01-01 00:01:07,0.1490032481295722,0.005614136345684528
P-7,9,9,68,2020-01-01 00:00:09,2020-01-01 00:01:08,0.1491641253232956,0.005614136345684528
P-7,10,10,69,2020-01-01 00:00:10,2020-01-01 00:01:09,0.149310901761055,0.005614136345684528
P-7,11,11,70,2020-01-01 00:00:11,2020-01-01 00:01:10,0.14949152299336024,0.005614136345684528
P-7,12,12,71,2020-01-01 00:00:12,2020-01-01 00:01:11,0.14981299000126974,0.005614136345684528
P-7,13,13,72,2020-01-01 00:00:13,2020-01-01 00:01:12,0.14982743774141583,0.005614136345684528
P-7,14,14,73,2020-01-01 00:00:14,2020-01-01 00:01:13,0.14951978198119573,0.005614136345684528
P-7,15,15,74,2020-01-01 00:00:15,2020-01-01 00:01:14,0.14919149449893407,0.005614136345684528
P-7,16,16,75,2020-01-01 00:00:16,2020-01-01 00:01:15,0.1495372908455985,0.005614136345684528
P-7,17,17,76,2020-01-01 00:00:17,2020-01-01 00:01:16,0.1501568704843521,0.005614136345684528
P-7,18,18,77,2020-01-01 00:00:18,2020-01-01 00:01:17,0.15048288234642573,0.005614136345684528
P-7,19,19,78,2020-01-01 00:00:19,2020-01-01 00:01:18,0.15054913290909355,0.005614136345684528
P-7,20,20,79,2020-01-01 00:00:20,2020-01-01 00:01:19,0.15066636460168017,0.005614136345684528
P-7,21,21,80,2020-01-01 00:00:21,2020-01-01 00:01:20,0.15092118084430695,0.005614136345684528
P-7,22,22,81,2020-01-01 00:00:22,2020-01-01 00:01:21,0.15145951935223168,0.005614136345684528
P-7,23,23,82,2020-01-01 00:00:23,2020-01-01 00:01:22,0.15141303624425614,0.005614136345684528
P-7,24,24,83,2020-01-01 00:00:24,2020-01-01 00:01:23,0.15123201693807328,0.005614136345684528
P-7,25,25,84,2020-01-01 00:00:25,2020-01-01 00:01:24,0.15160165514264787,0.005614136345684528
P-7,26,26,85,2020-01-01 00:00:26,2020-01-01 00:01:25,0.1525431445666722,0.005614136345684528
P-7,27,27,86,2020-01-01 00:00:27,2020-01-01 00:01:26,0.15452781106744493,0.005614136345684528
P-7,28,28,87,2020-01-01 00:00:28,2020-01-01 00:01:27,0.15574643867356433,0.005614136345684528
P-7,29,29,88,2020-01-01 00:00:29,2020-01-01 00:01:28,0.1552926536117281,0.005614136345684528
P-7,30,30,89,2020-01-01 00:00:30,2020-01-01 00:01:29,0.14429472386837006,0.005614136345684528
P-7,31,31,90,2020-01-01 00:00:31,2020-01-01 00:01:30,0.13090384964432036,0.005614136345684528
P-7,32,32,91,2020-01-01 00:00:32,2020-01-01 00:01:31,0.1175384803542069,0.005614136345684528
P-7,33,33,92,2020-01-01 00:00:33,2020-01-01 00:01:32,0.10313920357397624,0.005614136345684528
P-7,34,34,93,2020-01-01 00:00:34,2020-01-01 00:01:33,0.08808623573609758,0.005614136345684528
P-7,35,35,94,2020-01-01 00:00:35,2020-01-01 00:01:34,0.07402869526829037,0.005614136345684528
P-7,36,36,95,2020-01-01 00:00:36,2020-01-01 00:01:35,0.06200372321265084,0.005614136345684528
P-7,37,37,96,2020-01-01 00:00:37,2020-01-01 00:01:36,0.06059615633317402,0.005614136345684528
P-7,38,38,97,2020-01-01 00:00:38,2020-01-01 00:01:37,0.06159379120383944,0.005614136345684528
P-7,39,39,98,2020-01-01 00:00:39,2020-01-01 00:01:38,0.062430804861443374,0.005614136345684528
P-7,40,40,99,2020-01-01 00:00:40,2020-01-01 00:01:39,0.06413366858448301,0.005614136345684528
P-7,41,41,100,2020-01-01 00:00:41,2020-01-01 00:01:40,0.06581102205174309,0.005614136345684528
P-7,42,42,101,2020-01-01 00:00:42,2020-01-01 00:01:41,0.06749338869537626,0.005614136345684528
P-7,43,43,102,2020-01-01 00:00:43,2020-01-01 00:01:42,0.06885129426206861,0.005614136345684528
P-7,44,44,103,2020-01-01 00:00:44,2020-01-01 00:01:43,0.07019492132323128,0.005614136345684528
P-7,45,45,104,2020-01-01 00:00:45,2020-01-01 00:01:44,0.07170062405722481,0.005614136345684528
P-7,46,46,105,2020-01-01 00:00:46,2020-01-01 00:01:45,0.07345434916870935,0.005614136345684528
P-7,47,47,106,2020-01-01 00:00:47,2020-01-01 00:01:46,0.07517633267811365,0.005614136345684528
P-7,48,48,107,2020-01-01 00:00:48,2020-01-01 00:01:47,0.07719807752541133,0.005614136345684528
P-7,49,49,108,2020-01-01 00:00:49,2020-01-01 00:01:48,0.07943850862128393,0.005614136345684528
P-7,50,50,109,2020-01-01 00:00:50,2020-01-01 00:01:49,0.0817496372120721,0.005614136345684528
P-7,51,51,110,2020-01-01 00:00:51,2020-01-01 00:01:50,0.08409947369779858,0.005614136345684528
P-7,52,52,111,2020-01-01 00:00:52,2020-01-01 00:01:51,0.08677780521767478,0.005614136345684528
P-7,53,53,112,2020-01-01 00:00:53,2020-01-01 00:01:52,0.08929396740027835,0.005614136345684528
P-7,54,54,113,2020-01-01 00:00:54,2020-01-01 00:01:53,0.09179109441382544,0.005614136345684528
P-7,55,55,114,2020-01-01 00:00:55,2020-01-01 00:01:54,0.093931288591453,0.005614136345684528
P-7,56,56,115,2020-01-01 00:00:56,2020-01-01 00:01:55,0.09524579452616826,0.005614136345684528
P-7,57,57,116,2020-01-01 00:00:57,2020-01-01 00:01:56,0.09584995678492954,0.005614136345684528
P-7,58,58,117,2020-01-01 00:00:58,2020-01-01 00:01:57,0.09572085738182068,0.005614136345684528
P-7,59,59,118,2020-01-01 00:00:59,2020-01-01 00:01:58,0.09375690136637006,0.005614136345684528
P-7,60,60,119,2020-01-01 00:01:00,2020-01-01 00:01:59,0.09058888895171029,0.005614136345684528
P-7,61,61,120,2020-01-01 00:01:01,2020-01-01 00:02:00,0.08666293642350606,0.005614136345684528
P-7,62,62,121,2020-01-01 00:01:02,2020-01-01 00:02:01,0.08176096103021076,0.005614136345684528
P-7,63,63,122,2020-01-01 00:01:03,2020-01-01 00:02:02,0.0764286879982267,0.005614136345684528
P-7,64,64,123,2020-01-01 00:01:04,2020-01-01 00:02:03,0.07112929544278553,0.005614136345684528
P-7,65,65,124,2020-01-01 00:01:05,2020-01-01 00:02:04,0.06604232106889996,0.005614136345684528
P-7,66,66,125,2020-01-01 00:01:06,2020-01-01 00:02:05,0.061537780932017734,0.005614136345684528
P-7,67,67,126,2020-01-01 00:01:07,2020-01-01 00:02:06,0.05774257544960294,0.005614136345684528
P-7,68,68,127,2020-01-01 00:01:08,2020-01-01 00:02:07,0.054491890328271037,0.005614136345684528
P-7,69,69,128,2020-01-01 00:01:09,2020-01-01 00:02:08,0.05182295718363352,0.005614136345684528
P-7,70,70,129,2020-01-01 00:01:10,2020-01-01 00:02:09,0.04980050772428512,0.005614136345684528
P-7,71,71,130,2020-01-01 00:01:11,2020-01-01 00:02:10,0.04826503832425389,0.005614136345684528
P-7,72,72,131,2020-01-01 00:01:12,2020-01-01 00:02:11,0.04701800697616168,0.005614136345684528
P-7,73,73,132,2020-01-01 00:01:13,2020-01-01 00:02:12,0.046096350997686386,0.005614136345684528
P-7,74,74,133,2020-01-01 00:01:14,2020-01-01 00:02:13,0.045518054493835995,0.005614136345684528
P-7,75,75,134,2020-01-01 00:01:15,2020-01-01 00:02:14,0.04480606743267604,0.005614136345684528
P-7,76,76,135,2020-01-01 00:01:16,2020-01-01 00:02:15,0.04180394219500677,0.005614136345684528
P-7,77,77,136,2020-01-01 00:01:17,2020-01-01 00:02:16,0.038511069225413454,0.005614136345684528
P-7,78,78,137,2020-01-01 00:01:18,2020-01-01 00:02:17,0.035032331677419794,0.005614136345684528
P-7,79,79,138,2020-01-01 00:01:19,2020-01-01 00:02:18,0.03142057013298784,0.005614136345684528
P-7,80,80,139,2020-01-01 00:01:20,2020-01-01 00:02:19,0.0279386184577431,0.005614136345684528
P-7,81,81,140,2020-01-01 00:01:21,2020-01-01 00:02:20,0.02432479363467012,0.005614136345684528
P-7,82,82,141,2020-01-01 00:01:22,2020-01-01 00:02:21,0.020845710166863034,0.005614136345684528
