win_index,start_idx,end_idx,timestamp_start,timestamp_end,recon_mse,score,y_pred,threshold
0,0,59,2020-01-01 00:00:00,2020-01-01 00:00:59,0.004027249291539192,0.1542408892086574,0,0.20398489492280142
1,1,60,2020-01-01 00:00:01,2020-01-01 00:01:00,0.003924136515706778,0.19612716351236614,1,0.20398489492280142
2,2,61,2020-01-01 00:00:02,2020-01-01 00:01:01,0.0042639439925551414,0.2379471446786608,1,0.20398489492280142
3,3,62,2020-01-01 00:00:03,2020-01-01 00:01:02,0.00439750961959362,0.27941471764019554,1,0.20398489492280142
4,4,63,2020-01-01 00:00:04,2020-01-01 00:01:03,0.004418237134814262,0.2840751111507416,1,0.20398489492280142
5,5,64,2020-01-01 00:00:05,2020-01-01 00:01:04,0.004427445586770773,0.28859947834696087,1,0.20398489492280142
6,6,65,2020-01-01 00:00:06,2020-01-01 00:01:05,0.004315614700317383,0.2909392757075173,1,0.20398489492280142
7,7,66,2020-01-01 00:00:07,2020-01-01 00:01:06,0.0042583756148815155,0.290984856230872,1,0.20398489492280142
8,8,67,2020-01-01 00:00:08,2020-01-01 00:01:07,0.004266307223588228,0.2905305027961731,1,0.20398489492280142
9,9,68,2020-01-01 00:00:09,2020-01-01 00:01:08,0.004392190836369991,0.28995559896741596,1,0.20398489492280142
10,10,69,2020-01-01 00:00:10,2020-01-01 00:01:09,0.00444592023268342,0.28974375128746027,1,0.20398489492280142
11,11,70,2020-01-01 00:00:11,2020-01-01 00:01:10,0.004341990686953068,0.28985172084399624,1,0.20398489492280142
12,12,71,2020-01-01 00:00:12,2020-01-01 00:01:11,0.004273607861250639,0.28988853096961975,1,0.20398489492280142
13,13,72,2020-01-01 00:00:13,2020-01-01 00:01:12,0.004268028773367405,0.28944130028997145,1,0.20398489492280142
14,14,73,2020-01-01 00:00:14,2020-01-01 00:01:13,0.0042859348468482494,0.28883106793676105,1,0.20398489492280142
15,15,74,2020-01-01 00:00:15,2020-01-01 00:01:14,0.004273317288607359,0.2884302948202405,1,0.20398489492280142
16,16,75,2020-01-01 00:00:16,2020-01-01 00:01:15,0.004166432656347752,0.28808279122625075,1,0.20398489492280142
17,17,76,2020-01-01 00:00:17,2020-01-01 00:01:16,0.004112899769097567,0.2878252480711256,1,0.20398489492280142
18,18,77,2020-01-01 00:00:18,2020-01-01 00:01:17,0.004102661740034819,0.28739457045282635,1,0.20398489492280142
19,19,78,2020-01-01 00:00:19,2020-01-01 00:01:18,0.004086088389158249,0.28739182012421743,1,0.20398489492280142
20,20,79,2020-01-01 00:00:20,2020-01-01 00:01:19,0.004061974585056305,0.2870576083660126,1,0.20398489492280142
21,21,80,2020-01-01 00:00:21,2020-01-01 00:01:20,0.004035387188196182,0.28356523598943434,1,0.20398489492280142
22,22,81,2020-01-01 00:00:22,2020-01-01 00:01:21,0.0040480224415659904,0.2772471500294549,1,0.20398489492280142
23,23,82,2020-01-01 00:00:23,2020-01-01 00:01:22,0.004144067410379648,0.2667209186724254,1,0.20398489492280142
24,24,83,2020-01-01 00:00:24,2020-01-01 00:01:23,0.003827559296041727,0.2578683005911963,1,0.20398489492280142
25,25,84,2020-01-01 00:00:25,2020-01-01 00:01:24,0.0036377294454723597,0.24891520610877443,1,0.20398489492280142
26,26,85,2020-01-01 00:00:26,2020-01-01 00:01:25,0.0032137709204107523,0.23749254218169621,1,0.20398489492280142
27,27,86,2020-01-01 00:00:27,2020-01-01 00:01:26,0.003457255195826292,0.2277994475194386,1,0.20398489492280142
28,28,87,2020-01-01 00:00:28,2020-01-01 00:01:27,0.003560472745448351,0.2211391563926424,1,0.20398489492280142
29,29,88,2020-01-01 00:00:29,2020-01-01 00:01:28,0.0033900493290275335,0.22001195805413382,1,0.20398489492280142
