series,win_idx,point_start_idx,point_end_idx,start_time,end_time,score,threshold
T-3,0,0,59,2020-01-01 00:00:00,2020-01-01 00:00:59,0.00021723006752186587,6.68865224205157e-05
T-3,1,1,60,2020-01-01 00:00:01,2020-01-01 00:01:00,0.0002688079673264708,6.68865224205157e-05
T-3,2,2,61,2020-01-01 00:00:02,2020-01-01 00:01:01,0.0003246577024193747,6.68865224205157e-05
T-3,3,3,62,2020-01-01 00:00:03,2020-01-01 00:01:02,0.0003772694243317736,6.68865224205157e-05
T-3,4,4,63,2020-01-01 00:00:04,2020-01-01 00:01:03,0.00037637959550400926,6.68865224205157e-05
T-3,5,5,64,2020-01-01 00:00:05,2020-01-01 00:01:04,0.0003778003904569362,6.68865224205157e-05
T-3,6,6,65,2020-01-01 00:00:06,2020-01-01 00:01:05,0.000378004100639373,6.68865224205157e-05
T-3,7,7,66,2020-01-01 00:00:07,2020-01-01 00:01:06,0.00037821740261279047,6.68865224205157e-05
T-3,8,8,67,2020-01-01 00:00:08,2020-01-01 00:01:07,0.00037766312016174186,6.68865224205157e-05
T-3,9,9,68,2020-01-01 00:00:09,2020-01-01 00:01:08,0.00037352680893880976,6.68865224205157e-05
T-3,10,10,69,2020-01-01 00:00:10,2020-01-01 00:01:09,0.00037037221149408385,6.68865224205157e-05
T-3,11,11,70,2020-01-01 00:00:11,2020-01-01 00:01:10,0.00036669592373073096,6.68865224205157e-05
T-3,12,12,71,2020-01-01 00:00:12,2020-01-01 00:01:11,0.00035645246888244784,6.68865224205157e-05
T-3,13,13,72,2020-01-01 00:00:13,2020-01-01 00:01:12,0.00035109690673250176,6.68865224205157e-05
T-3,14,14,73,2020-01-01 00:00:14,2020-01-01 00:01:13,0.0003387460435208465,6.68865224205157e-05
T-3,15,15,74,2020-01-01 00:00:15,2020-01-01 00:01:14,0.00032911071736764686,6.68865224205157e-05
T-3,16,16,75,2020-01-01 00:00:16,2020-01-01 00:01:15,0.00031652627097043606,6.68865224205157e-05
T-3,17,17,76,2020-01-01 00:00:17,2020-01-01 00:01:16,0.0003038771600196404,6.68865224205157e-05
T-3,18,18,77,2020-01-01 00:00:18,2020-01-01 00:01:17,0.0002875815469971192,6.68865224205157e-05
T-3,19,19,78,2020-01-01 00:00:19,2020-01-01 00:01:18,0.0002743701957764902,6.68865224205157e-05
T-3,20,20,79,2020-01-01 00:00:20,2020-01-01 00:01:19,0.00025606452462462973,6.68865224205157e-05
T-3,21,21,80,2020-01-01 00:00:21,2020-01-01 00:01:20,0.0002417800133116543,6.68865224205157e-05
T-3,22,22,81,2020-01-01 00:00:22,2020-01-01 00:01:21,0.00022490873899576918,6.68865224205157e-05
T-3,23,23,82,2020-01-01 00:00:23,2020-01-01 00:01:22,0.00020987250484592678,6.68865224205157e-05
T-3,24,24,83,2020-01-01 00:00:24,2020-01-01 00:01:23,0.00019296374063872333,6.68865224205157e-05
T-3,25,25,84,2020-01-01 00:00:25,2020-01-01 00:01:24,0.00017994997948075512,6.68865224205157e-05
T-3,26,26,85,2020-01-01 00:00:26,2020-01-01 00:01:25,0.00016586569212709686,6.68865224205157e-05
T-3,27,27,86,2020-01-01 00:00:27,2020-01-01 00:01:26,0.00015324072176424252,6.68865224205157e-05
T-3,28,28,87,2020-01-01 00:00:28,2020-01-01 00:01:27,0.00014184666776730277,6.68865224205157e-05
T-3,29,29,88,2020-01-01 00:00:29,2020-01-01 00:01:28,0.0001318473389671583,6.68865224205157e-05
T-3,30,30,89,2020-01-01 00:00:30,2020-01-01 00:01:29,0.0001227009540473643,6.68865224205157e-05
T-3,31,31,90,2020-01-01 00:00:31,2020-01-01 00:01:30,0.0001149275870245349,6.68865224205157e-05
T-3,32,32,91,2020-01-01 00:00:32,2020-01-01 00:01:31,0.00010885900701396166,6.68865224205157e-05
T-3,33,33,92,2020-01-01 00:00:33,2020-01-01 00:01:32,0.0001027078417661999,6.68865224205157e-05
T-3,34,34,93,2020-01-01 00:00:34,2020-01-01 00:01:33,9.744911533614089e-05,6.68865224205157e-05
T-3,35,35,94,2020-01-01 00:00:35,2020-01-01 00:01:34,9.279717050958425e-05,6.68865224205157e-05
T-3,36,36,95,2020-01-01 00:00:36,2020-01-01 00:01:35,8.900067665048741e-05,6.68865224205157e-05
T-3,37,37,96,2020-01-01 00:00:37,2020-01-01 00:01:36,8.295768618284325e-05,6.68865224205157e-05
T-3,38,38,97,2020-01-01 00:00:38,2020-01-01 00:01:37,8.286974895911822e-05,6.68865224205157e-05
T-3,39,39,98,2020-01-01 00:00:39,2020-01-01 00:01:38,7.774408524190741e-05,6.68865224205157e-05
T-3,40,40,99,2020-01-01 00:00:40,2020-01-01 00:01:39,7.393341158084305e-05,6.68865224205157e-05
T-3,41,41,100,2020-01-01 00:00:41,2020-01-01 00:01:40,7.597369195926667e-05,6.68865224205157e-05
T-3,42,42,101,2020-01-01 00:00:42,2020-01-01 00:01:41,7.337997833799038e-05,6.68865224205157e-05
T-3,43,43,102,2020-01-01 00:00:43,2020-01-01 00:01:42,7.333730172831564e-05,6.68865224205157e-05
T-3,44,44,103,2020-01-01 00:00:44,2020-01-01 00:01:43,7.759974167648967e-05,6.68865224205157e-05
T-3,45,45,104,2020-01-01 00:00:45,2020-01-01 00:01:44,8.08739537855477e-05,6.68865224205157e-05
