series,start_idx,end_idx,start_time,end_time,win_start,win_end,score_max,score_mean,threshold
T-8,811,971,2020-01-01 00:13:31,2020-01-01 00:16:11,811,912,0.9953644360814776,0.6505808509281034,0.2590338034289224
T-8,1278,1428,2020-01-01 00:21:18,2020-01-01 00:23:48,1278,1369,0.9090444615909031,0.5514840386715364,0.2590338034289224
T-8,173,296,2020-01-01 00:02:53,2020-01-01 00:04:56,173,237,0.7525011301040648,0.66805680463766,0.2590338034289224
T-8,96,215,2020-01-01 00:01:36,2020-01-01 00:03:35,96,156,0.5147124103137426,0.4712529814075809,0.2590338034289224
T-8,347,469,2020-01-01 00:05:47,2020-01-01 00:07:49,347,410,0.5129381929125104,0.45555597729980946,0.2590338034289224
T-8,1442,1518,2020-01-01 00:24:02,2020-01-01 00:25:18,1442,1459,0.5041990024702889,0.43507138344030527,0.2590338034289224
T-8,426,492,2020-01-01 00:07:06,2020-01-01 00:08:12,426,433,0.32595949513571604,0.29987266260598383,0.2590338034289224
T-8,21,133,2020-01-01 00:00:21,2020-01-01 00:02:13,21,74,0.29439483795847204,0.26941668352595083,0.2590338034289224
T-8,533,644,2020-01-01 00:08:53,2020-01-01 00:10:44,533,585,0.29439483795847204,0.2689410857354213,0.2590338034289224
T-8,718,805,2020-01-01 00:11:58,2020-01-01 00:13:25,718,746,0.29154958469527104,0.27056362322104976,0.2590338034289224
T-8,1167,1251,2020-01-01 00:19:27,2020-01-01 00:20:51,1167,1192,0.2891719469002315,0.26920507848262787,0.2590338034289224
T-8,694,761,2020-01-01 00:11:34,2020-01-01 00:12:41,694,702,0.27426552346774513,0.26794843683167113,0.2590338034289224
T-8,1140,1206,2020-01-01 00:19:00,2020-01-01 00:20:06,1140,1147,0.2716243267059326,0.26639770237462856,0.2590338034289224
T-8,784,849,2020-01-01 00:13:04,2020-01-01 00:14:09,784,790,0.27156007715633934,0.2674144725410306,0.2590338034289224
